Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
MSaeed Creative,2 years ago,Great work Ehmad! Lovely to see you conquering yourself first and showcase what is possible!! Keep it up,https://yt3.ggpht.com/WRHX7jgSuaRAnT47JCl1Umcj0d2AoaVvT27LG6i4K2tpmo093U36p_3Y4yvpB45eCpKAK-4X=s48-c-k-c0x00ffffff-no-rj,1
Khizar Hayat,2 years ago,"Congrats on your achievements in 2020 and wishing you the best of luck for 2021.

If possible, please start a practical coding/programming series as well on your channel to let us know the industrial best practices.",https://yt3.ggpht.com/ytc/AGIKgqM3rgoR9isRxgmx9mzPEI_KN_UtobrQEcO6406-zA=s48-c-k-c0x00ffffff-no-rj,0
Ibrahim Abid,2 years ago,First best channel found for IT-related engineering in Pakistan. I am currently doing F.sc part 2 but I watched almost all of your videos. I will also do software engineering from FAST or NUST. Your work will help me so much to design my career greatly. May bless you in both worlds.,,2
Anum Ehmad,2 years ago,You can do anything that you set your mind to.Proud of you!!,,1
Ahsan Nadeem,2 years ago,You work are totally appreciable and very helpful. ,,1
Ahmad_Waheed,2 years ago,Thank you brother for helping us. You are one of my favorite person.,,0
Najeebullah Tahir,2 years ago,In Sha Allah your Goal will be Accomplished ,,0
Menz Talk,2 years ago,"Assalamualakum.

Sir I have some Questions:

1. What is differnce b/w Computer Science and Soft-ware engineering?

2. What i should do after Fsc to become a software-engineer?

3.How many semesters are in Software Engineering?

4. What are the best universities for Software Engineering?",,0
Nabeel bhatti,2 years ago (edited),You are doing a great job.God bless you,,0
Aizaz Haider,2 years ago,"thanks brother
You're doing a great job",,0
Usman Y.,2 years ago,"You got this EZ, let's run to 50K subscribers and 21Km!",,1
Abdul Hameed Khan,2 years ago,Thank u soo much ...you have supported us too...keep it up..,,0
Awais Ali,2 years ago,"Bro u are doing good ..
So keep it up .
Plz make video on selecting university in Karachi for cs and se.",,0
Ahmad_Waheed,2 years ago,Sir inshAllah we will reach more than 50k subscriber in 2021.,,0
Abdul Ahad,2 years ago (edited),"i am doing software engineering(1st semester) from virtual university of pakistan, can you guide me what should i do during my studies? and what type of difficulties, graduated students from virtual university has to face in pakistan's job market.(if you have any knowledge about it)please answer me",https://yt3.ggpht.com/ytc/AGIKgqMWimUDSj0QH9BKTzcYKp5gnOyS7_KVKC5aryBE67C1I28Y6duIU0MQo9hyylLD=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Abubakar,2 years ago,Allah bless you Ehmad bhai,https://yt3.ggpht.com/ytc/AGIKgqOqTHATmFIIe5Qzl9CagBEvyIfNUjWpPhhVA-dNmw=s48-c-k-c0x00ffffff-no-rj,0
Aizaz Haider,2 years ago,"Insha Allah 50k soon 
best of luck bro",https://yt3.ggpht.com/txWp1AsLXMla_DgV3y2E6kKLuHEsqPj7ZXQhmZNoqfec_FgEePBNBgFMRz4efope_o5nWgnjyQ=s48-c-k-c0x00ffffff-no-rj,0
Abu Ubaida,2 years ago,"Thanks, for your time.",https://yt3.ggpht.com/ytc/AGIKgqOJmx80Pz2nDJauCQpxNVjO6gvjxfzuHnU0IRbTQw=s48-c-k-c0x00ffffff-no-rj,0
beluga,2 years ago,great work thank u,https://yt3.ggpht.com/ytc/AGIKgqP8wo0mMEOP_O2zxXqugfABB4FOl_tNkSJCj_7X3pHj0rbl_fDEmWe9PB8u0DwO=s48-c-k-c0x00ffffff-no-rj,0
Shahyan Jatoi,2 years ago,Assalam o alaikum sir kindly tell me about iqra university is it good for BS SE or not because i can afford iqra university and also i have taken admission but not paid the challan yet kindly sir help me in telling is it a good reputed university or not?,https://yt3.ggpht.com/ytc/AGIKgqMU_SlEkbeZfKC0gdkJmJFYcmaSA0NzXolMWw=s48-c-k-c0x00ffffff-no-rj,0
Syed Faateh Sultan Kazmi,2 years ago,"Best thing is, you reply on insta ",https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,0
World Walking Tour,2 years ago,"Assalam o Alaikum Brother, What is Recruitment Process for Software companies in Pakistan?",https://yt3.ggpht.com/1WEwsT8gSfV9JlKH2EgVLzClnklwHKH_nHPb3LKcrSNAPgjXYspmEEmQ2H5Nq3hID93qSUQe=s48-c-k-c0x00ffffff-no-rj,1
Areej Sohail,2 years ago,"Want a suggestion, is KASBIT is well good university for bscs?",https://yt3.ggpht.com/ytc/AGIKgqNyebC43D0nwbUDBbaPkDcLCjJlmW3QatTjdg=s48-c-k-c0x00ffffff-no-rj,0
Syed Basit Raza,2 years ago,Please do a book recommendation video,https://yt3.ggpht.com/ytc/AGIKgqOkI4iuOeDvl23Q22YL9jLRWK6IBZvd0StRhFzjdg=s48-c-k-c0x00ffffff-no-rj,0
Mr. ShadiRegistrar,2 years ago,bro consistency ,https://yt3.ggpht.com/ytc/AGIKgqNNClDc78LwJgbtVC4sV_oZBRqYj9qGQ9K92d02kA=s48-c-k-c0x00ffffff-no-rj,0
Saddam Afzal,2 years ago,Sir java ka sath android development ksa hai market ma scene,https://yt3.ggpht.com/ytc/AGIKgqNeADtYwUKJitHcWsOBHnXncx5-veSJZj7E4sdW6Q=s48-c-k-c0x00ffffff-no-rj,0
Hassan Saleem,2 years ago,Ehmad bhai which camera and mic do you use ??,https://yt3.ggpht.com/ytc/AGIKgqM4-r78WVuhjeF1BLrN7spd7IGet1fGUvHMsymvMmU=s48-c-k-c0x00ffffff-no-rj,0
Najam Ul hassan,2 years ago,Bruhhh you are lit,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,0
Sufian Afzal,2 years ago,bhai itni late video ap ny upload ki ,https://yt3.ggpht.com/ytc/AGIKgqOLdQgmSTBWfcXhJzzculUhaCRp90PipDZnKA=s48-c-k-c0x00ffffff-no-rj,0
