Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Najam Ul hassan,2 years ago,All guys take a moment to appreciate Ehmad Bhai  effort for us he takes time from his busy schedule not  much easy for a senior software engineer plus now he had to run his own software company still makes videos for us Thanks a lot ehmad Bhai,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,4
Arsal Naeem,2 years ago (edited),Was just scrolling through videos and I came across your channel 4-5 months ago and your videos have motivated me enough that I have enrolled in a coding bootcamp this year. Thank you so much and Congratulations on 3k subscribers. May you see more such milestones.,https://yt3.ggpht.com/ytc/AGIKgqMa_uMbiJvGzQtBpllwF0VJQ9WgZDcQNyZcAsnECw=s48-c-k-c0x00ffffff-no-rj,2
Hassan Sajjad,2 years ago,its glad to see the growth of this tech channel. I highly recommend to my friends as well because the content covered in this channel is most probably up to the mark. As a fresher software engineer i learned a lot from it. Best wishes for up comings. Thanks .,https://yt3.ggpht.com/I4gdX20b4ExuKnkJipK90PJfttjzHxELBTuGzBtSm5pA6TP6Kziy4b1ldGqfjCgikC-TOU2P=s48-c-k-c0x00ffffff-no-rj,0
arham rasheed,2 years ago,Congrats sir on 3k just wanna say thanks for being with us in these times,https://yt3.ggpht.com/ytc/AGIKgqMoafmwGmqwtQp_4740w8XPwjUwoKokounujOCU=s48-c-k-c0x00ffffff-no-rj,0
Wasiullah Khan,2 years ago,"Congratulations Ehmad bhai on the 3000 subscribers, may this number keep on increasing!",https://yt3.ggpht.com/ytc/AGIKgqMAmuUXKV-qWRADY2_S1Xfyd_gSSNgGfzQvzj2I5VI=s48-c-k-c0x00ffffff-no-rj,1
Abdul Basit,2 years ago,"I m student of software engineering and i m literally don’t know what should i do after completing my degree. And i search about software engineering and watch your all videos.
Which give me a new way to do my degree.
Thank you so much  
& congratulations for 3K.
Boss aik q&a ho jaya (live)...?",https://yt3.ggpht.com/ytc/AGIKgqNHFiGKd22CY-B4ay71KSoJT5Ogw9-olLTYyXd-mg=s48-c-k-c0x00ffffff-no-rj,0
Hashim Jawed,2 years ago,"I am ur big fan Ehmad bhai Insha Allah whenever i get an paid internship in karachi, i will choose 25$ pateron membership for my mentorship u are best and best teacher in world Masha Allah.️",https://yt3.ggpht.com/ytc/AGIKgqN3E0CErBU5iNKWzbNIzMYxdSKlsZkbJgGYSfJU=s48-c-k-c0x00ffffff-no-rj,1
Zain Zia,2 years ago,"Love your content  
Congrats man",https://yt3.ggpht.com/ytc/AGIKgqPaEZ0GmLHebq3p6ySNiJNwk0zf0tAU4EzbomEJzA=s48-c-k-c0x00ffffff-no-rj,0
Zia Rasool,2 years ago,Sir you're amazing and the knowledge you share is great for me,https://yt3.ggpht.com/ytc/AGIKgqOrI6tTp0IZPYLBTBDzdMk52ztnMdx4KPSUvUFk3A=s48-c-k-c0x00ffffff-no-rj,0
Aymen Abbasi,2 years ago,Congratulations of almost 3000 subscribers. Here's to many more to come! ,https://yt3.ggpht.com/QxYJqs-WIOc7ngwr5dfUCLJsTZ9iQfaXwpEPETLRiSBmuSPokxOgsXR44uFs-kXOIP4U4bxzrg=s48-c-k-c0x00ffffff-no-rj,0
ar m,1 year ago,"Oh damn, I missed Clean Code!",https://yt3.ggpht.com/ytc/AGIKgqP4SWNiBFn_E4ZUl7G3jL5ZeABPRtaFDZtWf9r1=s48-c-k-c0x00ffffff-no-rj,0
Adeen Ahmad Zia,2 years ago,i will definitely cause u have inspired me alot and one day I.A when i will be able to earn...U will be one of the causes of it..love u sir..keep making such videos and changing people(programmers) life,https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,0
Hashim Jawed,2 years ago,2 adds fully watched Insha Allah when i watch your 2nd video i will watch full add bcz u deserved Sir,https://yt3.ggpht.com/ytc/AGIKgqN3E0CErBU5iNKWzbNIzMYxdSKlsZkbJgGYSfJU=s48-c-k-c0x00ffffff-no-rj,0
Syed Ibad Ul Hassan,1 year ago,"Amazing thought of hosting a giveaway for your YouTube family!

But brother isn’t it illegal to print a publisher’s book from a local printing house?",https://yt3.ggpht.com/ytc/AGIKgqOdoFHzRN6mNsR2pspGSBpj8sRncyZW_InItOllfAk=s48-c-k-c0x00ffffff-no-rj,0
Muhammad,2 years ago,Congratulations on almost 3000 Subscribers,https://yt3.ggpht.com/XJlZlrLRjMdSrFHCTnj83I1n83KKyxZWAM3zEuDTsuk3fwbTgEoraTAKNhLQitPkoT0kJ8oYIQ=s48-c-k-c0x00ffffff-no-rj,0
Usman Y.,2 years ago (edited),Congratulations! Next milestone 50K ,https://yt3.ggpht.com/ytc/AGIKgqPXaxlBbpg_z-lu3UMauafT_iWtL7br20Id-aOvsQ=s48-c-k-c0x00ffffff-no-rj,0
Farhan Bajwa,2 years ago,I am student of software engineering at university of sargodha I recommended your channel to all my class fellow's.,https://yt3.ggpht.com/ytc/AGIKgqO30pi_LHRc4KxNXSokw6MfyZ1hP1D_vAFWX59T=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Yousaf,2 years ago,Congratulations ️️️,https://yt3.ggpht.com/ytc/AGIKgqO1o-WgU1o-4MQokdJbPJ9JEEgwkKNlGgiFCw=s48-c-k-c0x00ffffff-no-rj,0
salman tahir,2 years ago,Congratulations ehmed bhai,https://yt3.ggpht.com/ytc/AGIKgqMrAhMcEKsMM0gNj2P8fqhz1EwabUsB1JCemQwYJQ=s48-c-k-c0x00ffffff-no-rj,0
Abdullah Azeem,2 years ago,Congratulations,https://yt3.ggpht.com/ytc/AGIKgqMasiQvc89XefnUCqQ3LiJGr6Qil7bOClYSJA=s48-c-k-c0x00ffffff-no-rj,0
ijaz Balouch,2 years ago,Sir we are always waiting for you vedioes,https://yt3.ggpht.com/ytc/AGIKgqNPPKZb1VWlHEQHWs3NnRRHcedrqWQN1BKCKsXchA=s48-c-k-c0x00ffffff-no-rj,0
ali ahmad khan,2 years ago,congratulation sir,https://yt3.ggpht.com/ytc/AGIKgqNyH1cmvIEKXuN9B515QVKJ2abtygO_Z_GOijj4gQ=s48-c-k-c0x00ffffff-no-rj,0
