Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
AsadAliCh,1 year ago,Happy to see you after a while.Please also make  a video about Data Science for begginers as it's very confusing field.,https://yt3.ggpht.com/ytc/AGIKgqO722L_bFI47P4QVQGgQQ-e0DbX-WgEl0aHtQaYO9uNaM7V0ObgZSGxvMbPI7l_=s48-c-k-c0x00ffffff-no-rj,0
Rizz Rullzz,1 year ago,"finally our brother is back MA sha ALLAH very happy to see you again bro , looking forward for upcoming great stuff. stay bless bai.",https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,3
Aliyan Ahmed,1 year ago,"ehmad bhai best of luck for half marathon and yeah please try to engage any data science professional regarding career/opportunities!
will be waiting for it.",https://yt3.ggpht.com/ytc/AGIKgqPbka_YVMknFdJ7LLBnzwXAjDfmogG0qg-7xUU4=s48-c-k-c0x00ffffff-no-rj,0
Umair Waheed,1 year ago,This is so relatable man! All valid and excellent points!,,0
Usman Y.,1 year ago,Congratulations and welcome back! Best of luck with managing all your responsibilities.,,0
Mir Munawar,1 year ago,"Looking forward to more videos about such topics .
Congratulations and best of luck !",,0
Salman Channa,1 year ago,Thanks for telling me about these now I am gonna thanks my team lead Mr Noman Shah and keep loving our company I2P Sukkur for having not having any bad sign ️,,4
Jahanzeb Ahmed,1 year ago,"Data Analytics vs Data Science, please make a detailed video on this topic",,0
NUTECH Student Communities Official,1 year ago,Congratulations for new chapter. My best wishes are with you.,,1
Ahsan Farooq,1 year ago,Sir please make a video about networking ... networking vs programming pro and con etc,,0
Muhammad Tahir Aslam,1 year ago,"Congratulations man, glad to see you back.",,0
abdul haseeb,1 year ago,Your videos are the best thing on YouTube ️,,1
Beta Coder,1 year ago,I think all of these points are not followed in my company but still it's a startup it require some time to be stable.,https://yt3.ggpht.com/jhuxhfZeabKkflG2MXkYJ4GmHH05tt1Dvy7uiZahNlTYlaCoaZdEdfzJLpEPyt0bz3WvVeIWIAQ=s48-c-k-c0x00ffffff-no-rj,1
Mohammad Talha,1 year ago,"Congrats for the lill Ehmed, glad you are back ️",https://yt3.ggpht.com/ytc/AGIKgqMFTDo6RMT6J4AG6Uoko1PO_xemJtvP3H6dNCxfqw=s48-c-k-c0x00ffffff-no-rj,3
ali.,1 year ago,"Sir in software house can u also make softwares for offline market like hospital,stores,etc...?plz reply",https://yt3.ggpht.com/ytc/AGIKgqNZ1vmoQO3vQjPCAVuFn54SeP81XhUQYxcl93F9v8cuZ5xmtp6t9dGxV8vwW0yI=s48-c-k-c0x00ffffff-no-rj,0
Mani,1 year ago,"Welcome back, I would recommend Logitech M585 or M590 Silent, pretty good mouse",https://yt3.ggpht.com/ytc/AGIKgqMgr6clN8D1yVc_dKp97b-1pucFsg3j8f2gPSUb=s48-c-k-c0x00ffffff-no-rj,1
Falcon X,1 year ago,Sir which uni is best for software engineering,https://yt3.ggpht.com/ytc/AGIKgqOm48EXmMC4QUJ5BAaBpMNtTBO1C_Q5fdZp7TOU7g=s48-c-k-c0x00ffffff-no-rj,1
Ali S,1 year ago,"Ma Sha Allah, congratulations",https://yt3.ggpht.com/ytc/AGIKgqNu1Ba9MCpLeda5XVto1iMt-rQET7O5J6rBDg=s48-c-k-c0x00ffffff-no-rj,1
Ahmad Waheed,1 year ago,Thanks for this video. Ehmad bahi your new look is so good.,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,1
Tajammal Amin,1 year ago,Sir please make a dedicated video on job hunt for 7th and 8th semester students,https://yt3.ggpht.com/ytc/AGIKgqPmiruAuBV3Stun6Mp5_cXcUVz3BaLojmiwjQ=s48-c-k-c0x00ffffff-no-rj,0
Waqar Ahmad,1 year ago,that is exactly what happening to me right now no one is giving me chance to learn at their company every single company asking for fullstack from an entry level guy like me i mean how am i gonna learn if nobody is giving me chance i am just lost every one is telling me if we hire you it means that we will have to wast our time training you,https://yt3.ggpht.com/ytc/AGIKgqMsSKoLDJnu7bJ9DYrMMa-FwghgVErxYVXH=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Tayyab,7 months ago,MashaAllha Ideal job Allha help u sir,https://yt3.ggpht.com/ytc/AGIKgqPJimeF0aksW7PWPuh2l5zgecipwLPFVwD1Zw=s48-c-k-c0x00ffffff-no-rj,0
