Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Sarah Latif Khan,1 year ago,I strongly agree : One should always ask for help and seek guidance.,https://yt3.ggpht.com/ytc/AGIKgqPllXJQ53yv-oH1DgE0W1v4t0PhcyDa_bhgFeYRGA=s48-c-k-c0x00ffffff-no-rj,0
Glomestone,1 year ago (edited),"Great video Ehmad, very informative. Can you please invite someone with international experience please? Like how hard is it to get a job abroad? Is the interview process any different? Are Pakistani companies at par with international companies (Software mainly)? Thanks in advance!",https://yt3.ggpht.com/ytc/AGIKgqMdrcrtWlJv6V8bd_6IHwOzM2F7uIbaZrupmzy8=s48-c-k-c0x00ffffff-no-rj,0
Muzammil Ahmad,1 year ago (edited),Kindly make a video on how students studying economics or any other degree not related to CS get jobs in tech companies.I still have 2 years till my graduation and I am learning programming and web development myself,https://yt3.ggpht.com/ytc/AGIKgqOhpdXsaG--m82Xc9tNo52RZ4w19n4I0Bb4yp2CpQ=s48-c-k-c0x00ffffff-no-rj,2
Arsalan Virk,1 year ago,Thank you so such an amazing and informative discussion .,,0
Haider Ali,1 year ago,"This channel is a great help for newbies in computer science field.
Watching from Kashmir ️",,2
Arslan Ch,1 year ago,Umar bhai is a very humble person... <3,,0
Muhammad Sohaib Leghari,1 year ago,"I have been recently selected at ITU Lahore for Electrical Engineering although I had interest in the field of Computer Science particularly. My question here is that whether by doing an Electrical Engineering degree can I still make a shift towards CS as a career, really need a guidance and roadmap for this. Regards.",,0
Ahthsham Khawaja,1 year ago,Awesome insights Umer ,,1
Najam Ul hassan,1 year ago,informative for the people from the non cs background great work ehmad bhai,,0
Lasim Ahmed,7 months ago,"Mashallah , this content is sadqa e jariya. Rarely see Pakistani contributing to tech",,1
Ehtisham hussain,1 year ago,I was finding a person who has shifted to software and finally I have found one. Ehmad bhai thanks for making this video I was very much confused that non IT background students are accepted or not in IT companies and now I have cleared my misconceptions. I think someday I will be in your video . Mechanical engineer here now have decided to shift to IT. I am the kind of person who can build stairs in C++ with asterik.,,2
Digital Hamayun,1 year ago,Increase your video voice by using audacity software or wondershare filmora software,,0
Qudsia's Art,1 year ago,"Sir please air university k graduate ko b bulain.........and sir what do you think about air university??!...I am doing software engineering from air university and I am in 2nd semester,...yhaan sa graduate krnay k bad koi problem to ni ho ga...please reply me",https://yt3.ggpht.com/3vr3Xvuc4mzeAgsLizI2d2WEFPNdkAihP_oz6zZnF32NgrJp3zWho3T-0K9yz8vfEbTrgcnjZg=s48-c-k-c0x00ffffff-no-rj,2
Usama Shahid,4 months ago,Can anyone get job in it company as a developer without degree?,https://yt3.ggpht.com/ytc/AGIKgqNihix3N9ZMFvlnaZWabP3h4FB_Od8_ZsURJ78=s48-c-k-c0x00ffffff-no-rj,0
Farid Ullah,1 year ago,"Ehmad bhai !
What you found good about ryan holiday that you bought his two books, First i saw ""ego is the enemy"" and now ""stillness is the key""?",https://yt3.ggpht.com/ytc/AGIKgqNMRLk6kc4Ghs9G0QbMj_oJ7fOAIq48oWAABUHOpw=s48-c-k-c0x00ffffff-no-rj,1
MR PIRATE,1 year ago,Mujhe 1st year se engineering lena hoga,https://yt3.ggpht.com/U6_RenX7wyWk5qLhzkDwbfBAbMgNCHtQa0nlge0m-xPvpm9JeCaNuQbZGc1wiqaCntWWvRI5=s48-c-k-c0x00ffffff-no-rj,0
BogeyWogey,1 year ago,Ehmad bhai pakistan me bhi koi placement system hy india jese ..?,https://yt3.ggpht.com/8J8c6L1IOtIrGTthc3j8c97JqrW5-0T0LmH_GNV58ysXscvVJrYllogR1cthQ3EhuJynD6JN=s48-c-k-c0x00ffffff-no-rj,0
ur Brother,1 year ago,"Lodhran 
Mashallah 
Love",https://yt3.ggpht.com/EvGwg2ZWEKpufqv5CD4XBiIy8BOY4sI21-ZT9Xcn2IyPiuY1owsb1qNws_CdS-US553BqCGPaQ=s48-c-k-c0x00ffffff-no-rj,1
ur Brother,1 year ago,Neighbour...,https://yt3.ggpht.com/EvGwg2ZWEKpufqv5CD4XBiIy8BOY4sI21-ZT9Xcn2IyPiuY1owsb1qNws_CdS-US553BqCGPaQ=s48-c-k-c0x00ffffff-no-rj,0
