Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,0
Ather Tayyab,2 years ago,One day you will be a biggest inspiration for every student in pakistan..inshaAllah,https://yt3.ggpht.com/ytc/AGIKgqP6kXvYWnZwBztX1s-i-PQ4JaNF-YLery9EzaBF0A=s48-c-k-c0x00ffffff-no-rj,36
Syed Faateh Sultan Kazmi,2 years ago,I literally had no idea that the HR team uses so many sophisticated tools and methodologies just to process the applications :),https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,6
M SHAHZeB,2 years ago,"That's why I love Arbisoft <3
They give equal opportunities to all people regardless of universities and cgpa.
Great personality ayesha mahmood!",,3
Mr Professor,2 years ago,"Your content is so invaluable bro, it's showing us the reality in the perspective of Hr. Trust me it provided immense value as i am too CS UNDERGRAD️
Would appreciate if you make one about track for Cs students in 3,4 semester to do as i see we don't see what actually we are gonna do in future",,3
Watch and Enjoy104,7 months ago,I am python player but I never got any news like these .Opened my eyes  Thank you both of you but I had never met with nor listened to anyone like her.,,0
Umara's Archive,2 years ago,"I took a professional gap after bachelors and now as I'm looking in between jobs, I'm getting continuously and silently rejected by the companies. This podcast is really very helpful for a person like me, I hope I'll come out my career block soon by working hard and improving  the skills mentioned by you guys. Thanks to you for this valuable 1 hr discussion and thanks to the YouTube algorithm for recommending me this video.",,0
AwaisFayyaz Dev,2 years ago,"You are doing a wonderful job Mr Ehmad. More power to you!
It would be good if you also provide links to 2 to 3 nano degrees that were being discussed.",,1
zub c,2 years ago (edited),"A very elaborate and wholesome interview, which is not only good for the IT buds (even seeds) but also for HR persons in any field. Bringing the top professionals for interviews is your forte. Helping the students in the pipeline to become good candidates is an honourous task. Sharing and سکھانا is not so common but is definitely very important. Keep up the good work!",,0
Bilal Ahmed Khan,11 months ago,Highly insightful. Thank you for making such amazing content Ehmad!,,0
mishal,2 years ago,I wish I could find this channel a bit earlier.... By the way amazing content. You are motivating enormous lazy souls like me to dive again into the stream of coding and  tech with a different perspective,,0
Talha Bukhari,2 years ago,"ThankYou so much for giving this opportunity to all of us.
I keep on waiting for the next episode.
Amazing work",,1
Muneeb Aslam,2 years ago,Sir alot of inspiration for me. You are doing a better job. Kindly make a video on students of CS SE. How we cover the industrial and academic gap. Which things we learn during graduation.,,1
Adeela Shokat,2 years ago,"Wow such an inspiration, you both. I am a fresh graduate and want to peruse my career as a developer. And believe me that's all i wanted to hear. And no doubt being a girl i am also facing so many difficulties. Like going to other cities for interviews etc. As i am from Bahawalpur and here's no such work or job opportunities. But anyways I'm trying my best and InshaAllah i will make it soon. But this video and your words forced me to comment. Great work sir. Hoping to have mentors like you for my career as well. Great work ",,0
Study Desk,2 years ago,Thank you sir for such stimulating and inspiring shows.,,0
Haseeb Ahmed,2 years ago,More power to you... Ehmed Sir! May Allah bless you for all this hard work !,https://yt3.ggpht.com/ytc/AGIKgqN9Wr8s3V4_jIelHljCyUHujsDu5hJkgRcoyYrl_g=s48-c-k-c0x00ffffff-no-rj,0
M. Ammar Raza,2 years ago,"Next meeting im wishing with a full stack developer, and all the questions of a fresh undergraduate student and gradutes..Jazakallah sir you are connecting us with the industry that where are we and where is industry going.Jazakallah jazakallah",https://yt3.ggpht.com/ytc/AGIKgqPD-9d9sR_B52JGrnl1W2QERcqI1vwB5FyjR5v2MQ=s48-c-k-c0x00ffffff-no-rj,0
Syed Faateh Sultan Kazmi,2 years ago,One of the very few channels with such an awesome quality of content. Thanks for this video bhai ️,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,1
Kim Jojo,6 months ago,"Hi bhai 
I'll be really grateful
I've few questions to ask
I'm a biology student I applied in SE 
Can you please guide us especially those who didn't study ICS ...
And in coming years does it Worth??",https://yt3.ggpht.com/tSwasz9KpMZ2EuF6O94uA-ibuhN8KYjV-bghhi2M2bZY9VPRsgMy4Sy7QSUzTcko5vHsZqrViGE=s48-c-k-c0x00ffffff-no-rj,0
