Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Adnan Shoukat,1 year ago,Bro can you bring more people like this to your podcast.,https://yt3.ggpht.com/ytc/AGIKgqMof8k2_BRWtd2yUMsQyPiwFfV4u8nl5kqGdZmk6A=s48-c-k-c0x00ffffff-no-rj,3
Muhammad Saad Qasim,1 year ago,"Hello Sir, Can you make a video about the difference between Software Engineering and BSCS in complete Details. It would be really helpful if you can, In 15 days going to University for software engineering ,still have confusion between software engineering and BSCS. Help via Reply would be appreciated. Thanks!.",https://yt3.ggpht.com/ytc/AGIKgqO0a1TIeXjcDHk67cz6EufoPNbDlwP8jrrvdj6dBA=s48-c-k-c0x00ffffff-no-rj,3
Ibrahim Abid,1 year ago,Ehmad Bhai please also interview someone who belongs to the AI department (Artificial Intelligence).,https://yt3.ggpht.com/ytc/AGIKgqOPGeWFF4A3JqxGJuiXBc3XNo3c8qfbhzqwR53GlA=s48-c-k-c0x00ffffff-no-rj,1
Glomestone,1 year ago,Great video Ehmad! Loved the little bit of sense of humor in the middle. Keep up the good work!,,3
Hamza khan,1 year ago,"Very informative, please make video on how to improve communication skill and best way to sell yourself in an interview",,3
For You #shorts,5 months ago,"Thank you, sir, I am planning to go to Germany & this was really helpful information for me.",,0
Farhan Khan,1 year ago,Amazing Masha Allah keep up the good work️,,1
Salman Ahmed Khan,1 year ago,Very much informative video and great channel. Love you bro ,,2
Mubeen Channa,1 year ago,"Awesome Video ️
Make more videos like this",,0
Ayesha Fatima,1 year ago,Great content. Can u make a video on multinational companies currently working in Pakistan. I'm from Kashmir & I searched about it  but couldn't get information & don't have enough knowledge and access to multinational companies,,3
CR Bxwed,1 year ago,Sir can you make a video on what books you should self study and which online courses you should take while studying your normal university curriculum for SE/CS in university?,,7
Ali Jamshed,1 year ago,"Only 827 views so far, this should have been viewed 827K times. Great Content.",,3
Mian Khalid,1 year ago (edited),"""Bohat maza aaye ga apko"" - Usman Abbasi
Quote of the day hogya ... Or maza aa gaya  
Timestamp = 29:15 (thank me later)",,2
Zohaib Zahid Malik,1 year ago,Very informative video !,https://yt3.ggpht.com/ytc/AGIKgqOTqgSGNWoVViur0pOwNnvv-M2S0lXuRY19Cbbm=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Usman Akram,10 months ago,Which tech stack should we learn??,https://yt3.ggpht.com/ytc/AGIKgqOK4cZ1N8eWx6Jo3VRlHEgSEbGYzph_BlHIIQ=s48-c-k-c0x00ffffff-no-rj,0
Mohammad Talha,1 year ago,"Came to your channel after watching your podcast on Muzammil's channel, deffo doing good work!!",https://yt3.ggpht.com/ytc/AGIKgqMFTDo6RMT6J4AG6Uoko1PO_xemJtvP3H6dNCxfqw=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Husnain,6 months ago,loving your podcasts bro!,https://yt3.ggpht.com/ytc/AGIKgqNfIUMbi9IA3f8YbUy6h-P2v5X4zzlVDc2v1w=s48-c-k-c0x00ffffff-no-rj,0
Ameer Hamza,1 year ago,"Great bro is university matter like in paksitan there are many developer who are not from reputed university like fast and nust ""these university matter for getting job in foreign country like USA German""",https://yt3.ggpht.com/_Lxg78RzsCago7wc3XBNxlkIj8FScb8MNNo8o1XdwaNeF6AwMAjC8plXQBBS44kyGxaEiB989w=s48-c-k-c0x00ffffff-no-rj,10
Muhammad Safi Ullah,7 months ago,Very informative!,https://yt3.ggpht.com/ytc/AGIKgqP-wbLWI-6_Nt2ewTdZ4S-TgOpyJ20bxshlkB6SJA=s48-c-k-c0x00ffffff-no-rj,0
A I.,1 year ago,Emad is if possible to get a video on how to create a resume for internship?,https://yt3.ggpht.com/HRwx2HMgrydzIoJKWUU4fAf69WXq51t9ca059rXvSjGT5KteMCPYFlenvbRMu75RDONtiNBV0Q=s48-c-k-c0x00ffffff-no-rj,1
Comment-Bot,1 year ago,"This is very informative.
I have a question sir,
I am 40, working as a transcriptionist in KSA.
I want to learn programming language and move from here. Kindly guide me a path, or a string to follow helping me in switching my career at this age. Which language i should start learning that can help me achieve my objective in a year's time?
Thank you.",https://yt3.ggpht.com/ytc/AGIKgqN7ARQfxMaWnuXFWTd_66ZF-GYQAR7V77l4HQKnwQ=s48-c-k-c0x00ffffff-no-rj,2
