Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,0
Hassan Sajjad,2 years ago,Excellent video showing some great effort done by you. Can you give interview tips as well???? As a fresher what things keep in mind while going for an interview...,https://yt3.ggpht.com/I4gdX20b4ExuKnkJipK90PJfttjzHxELBTuGzBtSm5pA6TP6Kziy4b1ldGqfjCgikC-TOU2P=s48-c-k-c0x00ffffff-no-rj,1
Matt Murdock,2 years ago,"You deserve more subs.... Really you cleared alot of things... Thank you.. and i want to ask you a question that what is internship, how do you get internship and what do you do in internship?",https://yt3.ggpht.com/7pNDqUTSI8gazGJLMUIPydpo_0gXTS_KatgNG-msHpOKbG0-FC-sMIjHP0n_rcJvpaOsciWklw=s48-c-k-c0x00ffffff-no-rj,3
zub c,2 years ago,Once again an excellent video befitting the great expectations that I keep associating with you. Keep up the good work!,,4
Malik Suleman,6 months ago,I graduated in Physics in 2018. Now I have interest in coding. Make a video on this topic how people from non software engineering can join software houses with no prior experience.,,0
Ali,1 year ago,Thanks Brother Thank you for this great video.  Can you please tell what technology you use in web development projects like php or which framework? . I am using laravel with php . So make a detail video about it .,,1
Struggling,2 years ago,Great work ....Brother make a video on things a student should do while studying CS..I mean how to enhance your skills during your university years..,,1
Muiz Junaid Khan,2 years ago,Really helpful! Appreciate the awesome work you are doing!,,1
Ehmad Zubair,2 years ago,"If anybody gets a job from following the tips from this video, please let me know. It will make my day!",,22
Zain Ali,2 years ago,"Hey, what should a freshly graduated software engineer from NUST or FAST expect? And how much should one expect after around 4-5 years of experience?",,1
Faiza zaheer,1 year ago,Please talk about scope of software engineering abroad specially in US.,,2
Usama Aslam,1 year ago,Doing great work. Keep it up bro ,,2
Mohsin Ali Irfan,1 year ago,"Indeed it is a very very helpful video sir, really appreciated",,2
Abuzar Barki,1 year ago (edited),"Assalam o alaikum Sir
How to do internships ... Where to do ... And what to do
Sir kindly can u make a detailed video about internships for S.E(BS Graduation) plz it would be very helpful .. thanks",,1
zara,1 year ago,so I am a BSSE student and I want to do internships but I don't know how to find internships as a student and i have researched about it but still cannot find a video or a blog that can guide me about how i can get an internship as a student so if you can make a video about this that would be very helpful thanks,https://yt3.ggpht.com/ytc/AGIKgqNmZNSQ8w4P1Mscyz7sEKaNxyy6elYKSipwfGOIDg=s48-c-k-c0x00ffffff-no-rj,1
Watch and Enjoy104,7 months ago (edited),Brother can you make a video about how to get internship or do projects with software companies as fyp and how to talk with then if you go physically and ask for internship or want to do project with them .,https://yt3.ggpht.com/ytc/AGIKgqNYiqfvRtvQN1aVU2yhFBI26Acn1psHZatVsgAmiw=s48-c-k-c0x00ffffff-no-rj,0
Sanaa Ullah,2 years ago (edited),"Thank you sir, Sir I want to know that with university studies(BSSE) what skills we should learn that will aslo attract company also for internships",https://yt3.ggpht.com/ytc/AGIKgqPxEGlzFWKuutEzIEdl4fgMNas-G_5b9lS1u0r6XA=s48-c-k-c0x00ffffff-no-rj,2
Syed Faateh Sultan Kazmi,2 years ago,I'm trying to follow the useful tips from your videos. Jazak'Allah khair brother,https://yt3.ggpht.com/ytc/AGIKgqPJxq-LuIXK2kgQOEY1Ma98jyYx6JhGzS-Z9C-VUuk=s48-c-k-c0x00ffffff-no-rj,1
ASIF JALAL ACADEMY,2 months ago,I got internship after 3 years of graduation. I just shoked to listen you got in 2nd year.,https://yt3.ggpht.com/ytc/AGIKgqN1s_vRLIJrbwffiTDtnMtVQcOOnxCejDUvmaw7=s48-c-k-c0x00ffffff-no-rj,0
Ali Jutt,1 year ago,Brother please can you tell me that what is the starting salary of a fresh graduate of BSCS ?,https://yt3.ggpht.com/ytc/AGIKgqOFG3-db9Ajx5hi97ADefyafr-DfMSH3e8i_CSkZQ=s48-c-k-c0x00ffffff-no-rj,1
Nabeel Malik.,2 years ago,"AOA! I'm in initial semesters of 
BsSe, but i wanna ask that, how to get internship, because for internship, degree is required, so how to do intership as a student of BsSe.?",https://yt3.ggpht.com/ytc/AGIKgqPwAVLutIdspUWwAOB3oUJCJEyhQKq2QyDWsjR_xw=s48-c-k-c0x00ffffff-no-rj,1
Avoid complexity,1 year ago,"No dislikes 
That's amazing!",https://yt3.ggpht.com/ytc/AGIKgqM5lFQj7fLGd39wW6cM_SF1L9W2Y2hdcITZUg=s48-c-k-c0x00ffffff-no-rj,1
Learning with Kabeer Akbar,2 years ago,"Sir which type of IT certifications  are best for jobs, having handsome package",https://yt3.ggpht.com/AUst8bsy__S08Tjt3ju18uWVw53czjVpyBxlWbqc3B8Pt7hzE_cBXKVgMxWtxX8uf6f4ChlgrA=s48-c-k-c0x00ffffff-no-rj,1
chatgpt,2 years ago,Thanks for the video. It was very informative,https://yt3.ggpht.com/ytc/AGIKgqNzMfE6glCgFqVyX3ZGJupMvBqhTDE5tSkFMW-IQT4KQN811ww1CK6f1s0q2f-c=s48-c-k-c0x00ffffff-no-rj,1
MARTIN,2 years ago,This a best video i have come accross in the recent time. thank you.,https://yt3.ggpht.com/ytc/AGIKgqPu9DQIfwv7T1D5u-EguHzPPiRnoJaeRw84jdcLXA=s48-c-k-c0x00ffffff-no-rj,6
Owais Mumtaz,2 years ago,They all need 1 to 2 years of experience from fresh graduate even for internships.,,1
Global Talk,2 years ago,"Assalam o alaikum.i just got admission in software engineering in IUB, I also wanna to earn some money for my expenses with studies , please guide",,4
Ali Mughees,1 year ago,I'm in my final semester of BSIT and haven't done any internship yet. What should I do to get a job?,,1
zakria bacha,1 year ago,"Ahmad Zubair!! brother, please tell me I am very confused about what to do. I have done freelancing on Fiverr for 1 year. I have learned C, C++, Java, and python. I have also knowledge about Flutter and react native framework. But did not know how I will choose a place for an internship. I mean I did not know how much knowledge about each technology they require. Also about my resume, because I have learned most technology from youtube.",,2
Taha Naveed,2 years ago,Can a current undergrad student get an internship?,,0
ᴀʜᴍᴀᴅ ᴊᴀᴛᴛ,8 months ago,How to get off campus internship during study plz inform if you have any idea about it....,,0
Faiq ahmed,1 year ago,"hi sir !
i want to know about computer engineering and its jobs in pakistan",,0
MAKKAH PAK MADINA PAK,2 years ago,Kindly arrange interview with Asp.net core developer,,0
Wajahat Ali,2 years ago,Bhai I want to become a software engineer but I am suffering with keretoconus (an eye disease) so I want to ask you that hmain screen pay kitna time daina parta hai as an engineer or kia ap ki health effect hoti hai?,,0
taha ali,2 years ago,"Asalam o alaikum 
Sir tell me  one thing how to choose my career  .. Im so confuse to make career in programming  i don't know which  is better to me. Android development or software development. Oracle development... Or web.. Im doing work in web development but i realise  in web development there is no scope any more i think. I can able to learn and understanding programing very well but tell me one programing line. I will focus on it i have done bscs from virtual university .. I live in karachi. ..
Thanks you",,4
The creative channel,2 years ago,nice job,https://yt3.ggpht.com/ytc/AGIKgqNMO8e-D-qAx-pvjqPyQ8n_Nu699_r5czSN8N9r2Q=s48-c-k-c0x00ffffff-no-rj,0
Abdullah Azeem,2 years ago,Really informative video for me. Thank You,https://yt3.ggpht.com/ytc/AGIKgqMISDtVBhlMOO9mlbYg_LdA8XNq_NWIauipIw=s48-c-k-c0x00ffffff-no-rj,1
Shah Zaman Rai,2 years ago,"Sir,
     I had mailed you to make a video on the Internship. When will u make it?",https://yt3.ggpht.com/ytc/AGIKgqOZOsRipxHVriNBAMr25R1d4E92-S3VnQ1eRDJCBQ=s48-c-k-c0x00ffffff-no-rj,0
Moeez Ahmad,2 years ago,love u man!........one of the best channel i hve ever viewed.,https://yt3.ggpht.com/ytc/AGIKgqO2FV2p10DwTmxG9Xg2WkTIY5uQEkhxIhdMK81TxQ=s48-c-k-c0x00ffffff-no-rj,0
Mayra Nadeem,9 months ago,Best content,https://yt3.ggpht.com/ytc/AGIKgqO4N1JosMhvoxiqkMe59bT2M9lwSmE_PejA0t3oUifN0-rFD6HU5shVE_Hvppyf=s48-c-k-c0x00ffffff-no-rj,0
UA series 901,2 years ago,Sir️ best explanation,https://yt3.ggpht.com/ytc/AGIKgqN0mRQk26y69IcafCBO1STXQzT6Ljxg1kSSQT3abA=s48-c-k-c0x00ffffff-no-rj,0
Abdul Hameed Khan,2 years ago,Excellent... Please make a video on web development career,https://yt3.ggpht.com/ytc/AGIKgqO78wPs4MZfdpH9aBTfkcyc1QqsLY2jJjNOaBVqUQI=s48-c-k-c0x00ffffff-no-rj,1
