Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Saad Ahmed,1 year ago (edited),"Hi, great video as it provides a good insight into hiring culture of SWE/IT related jobs in Pakistan. I am a 1st semester student at ITU Lahore. What advice would you give to someone who started their CS journey before joining university and are currently ahead of their classmates? I think I have gotten my fundamentals right along with some OOP, I think I only need to polish my understanding and practice concepts like inheritance and polymorphism now. With that, I also love to watch random computerphile or any other good CS related video when I am free so I think I have a decent idea of what's to come. What advice would you have for me if my end goal is to land a good tech job abroad? Should I continue to stay a bit ahead or should I just go with the flow? Note that I don't plan on learning any framework or anything like that until I get my data structures right. Thanks ",https://yt3.ggpht.com/ytc/AGIKgqOnFGgyNSvHsBt_jJq2jc12iTq8fjvsRayM9hJzcg=s48-c-k-c0x00ffffff-no-rj,3
Sultan Muammad,1 year ago,"For the first time in my life, i'm thankful toYoutube for showing me your channel.
Its my last year in software Engineering and i have made up my mind to master atleast one domain before im graduated. 
But i'm so confused about what to do, which domain to pick. 
But now i believe i would be able to get my answers, thanks to this channel.",https://yt3.ggpht.com/ytc/AGIKgqO5pD_PYD6e1PbOiJyWHYVbjPLa_1vQSAXmA6NRvluYt-3ABI7HwhUpCRNg22j4=s48-c-k-c0x00ffffff-no-rj,3
Aafaq Ahmed,8 months ago,"Hi, First of all I would like to acknowledge that video was really good. I am 6th semester student of BSCS but I also have 2+ year of experience in developing iOS app with swift. Should I consider joining as a Junior iOS dev? Should my expectations be same as fresh graduate? I got diverse experience while doing freelancing. 

Also one more question, should I bring my laptop on interview?",,0
Muhammad Zain Abbas Baloch,1 year ago,"Plz, make videos on complete roadmaps for becoming self-taught Web developer, app developer, data scientist, AI expert and game developers THROUGH INTERNET RESOURCES. 

Your work is great ️. Keep it up ️🇵🇰",,2
Ali Ahmed Khan,1 year ago,"Ehmad bhai the work you are doing is making the path clear for all the CS Undergrads. Thank You! Ehmad bhai please help me wih one confusion, should I focus on making myself confident with concepts of DSA, OOP, DB or should I learn stuff like web development, android or ios ... like I know both holds importance but as an undergrad in my third year what should I focus more on.? please make a video on this many of my colleagues are confused",,0
Farid Ullah,1 year ago (edited),"Sir, 
Do you think getting a coursera certificate will give me a little advantage in the interviews or its fine to just have a skill without any certificate?",,0
Salman Ali,1 year ago,"Hi, This one is really a great asset for the freshers.
Thank you for your efforts.",,1
Muhammad Usman Akram,6 months ago,"Hi Ehmad, how are you doing? I'm working as shopify dev for past 1 year and previously worked as WP dev. My problem is I almost forget all of these things and now very demotivated that how will I learn these things again. I tried many times to learn new things or grab these concepts again but nothing is helping me. I love development. It gives me confidence. But now I don't know what to do.",,0
Zohaib Zahid Malik,1 year ago,Very very informative especially for beginners like me. Stay blessed,,2
Rizz Rullzz,1 year ago,Our brother back with another masterpeice️️,,1
A I.,1 year ago (edited),"Great video Emaad, can you please upload a resume of you or your friend when you were fresh graduate? Just need what things to add to.",,0
Muhammad Tayyab,1 year ago,Very informative video.All the young students of Pakistan should listen your informative videos for guidance .,,0
This is Sami,1 year ago,"I will graduate this year InshAllah from Iqra University, Karachi.
I love your Videos, they are so helpful for a Cs/Se/ IT students, I always recommend your videos.",,0
Umer Naeem,1 year ago,I am in 2nd semester. Just started learning Data structures and Algorithm and I am able to solve most medium level questions.,https://yt3.ggpht.com/ytc/AGIKgqMR122TcmewY7t1yWKI9CyJx1TO80_hcqlJWsexTA=s48-c-k-c0x00ffffff-no-rj,3
Muhammad Shahbaz,1 year ago,"I will graduate this year InshAllah from Lahore Leads University
I love your Videos, they are so helpful for a CS/SE/ IT students, I always recommend your videos.",https://yt3.ggpht.com/ytc/AGIKgqMiKOpn06i2-t14UW1GDd_e8lY7h0kkyaceASnhtw=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Azeem Unar,10 months ago,"Awesome, I am preparing for Android developer job using kotlin from last six months and graduated from Quaid Awam University Nawabshah Sindh (CS) as a fresher.",https://yt3.ggpht.com/ytc/AGIKgqMnsKWjoByy9RLMPFlR6-jY9efgaI-5Bf9MSmwsNw=s48-c-k-c0x00ffffff-no-rj,0
Fatima Ali,1 year ago,Thank you for doing this !,https://yt3.ggpht.com/ytc/AGIKgqPnmSzGRv-MmhLQoJqxZdh-AJijpKCr-zWMniBeIA=s48-c-k-c0x00ffffff-no-rj,0
Sarah Latif Khan,1 year ago,Commenting for better reach ++ this is gonna help freshers.,https://yt3.ggpht.com/ytc/AGIKgqPllXJQ53yv-oH1DgE0W1v4t0PhcyDa_bhgFeYRGA=s48-c-k-c0x00ffffff-no-rj,0
Anand Kumar,1 year ago,"Very Informative video. I'm a final year student of Electrical Engineering at NUST SEECS, trying to switch to the software industry.",https://yt3.ggpht.com/ytc/AGIKgqMT5WoRTEu1d1CoXKDx6xP8u9f6VPswnxBfd72QbQ=s48-c-k-c0x00ffffff-no-rj,2
Home Coder,2 months ago,Is it necessary in Pakistan to hold a programming degree? Cant you simply get hired on the basis of your skills learnt?,https://yt3.ggpht.com/ytc/AGIKgqP4YsKO_AaRMRN_-je7wCCKqYCCXzuRWCp9ao4blLR5ZVT1MXXZdFXFhywuG1F3=s48-c-k-c0x00ffffff-no-rj,0
MR Zack,1 year ago,Thanks sir g for sharing such useful information  ,https://yt3.ggpht.com/JuvUSD4cmXgeAY073fLSf0UmQwzzxjnHDUcrncesNLfaFM7hpY_SDBgNUNj793j-2KavVIKXiw=s48-c-k-c0x00ffffff-no-rj,0
Musawir Butt,1 year ago,Nailed it ️,https://yt3.ggpht.com/ytc/AGIKgqMX2y5XBgIEjRzmQ8xXTE3TrMBJnhpZQLsePSDpoU8kk89Y_NtIWAnNcN0cO1OM=s48-c-k-c0x00ffffff-no-rj,0
Allah's Blessings,1 month ago,Very informative video Allah bless you sir ️️,https://yt3.ggpht.com/ytc/AGIKgqNO2g9onFvxz9rK3e39xlVTu2j3ChSokeZMMSbc=s48-c-k-c0x00ffffff-no-rj,0
muneebwasikhan,8 months ago,Masterpiece,https://yt3.ggpht.com/zghZj7VmMYUrAHWjTCj1BnEo3fO2bUOX2JnLkrPy-dNAUlir-zbZfLH0LO-E5pJSUsddDdy8JA=s48-c-k-c0x00ffffff-no-rj,0
Abdul Haseeb,10 months ago,Should Domain specialists do all of this stuff after spending their time in specific domain? Plz answer this,https://yt3.ggpht.com/ytc/AGIKgqNQZWUdn3YAjrc3_qvZUPHVtuVGMwPaplxFY0sjtg=s48-c-k-c0x00ffffff-no-rj,0
