Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Jason Anderson,2 years ago,"Can you do a video on internship experiences.

How do candidates typically seek internships and what experiences do candidates prefer? What makes for a better internship experience? 

Most Pakistani employers I speak to offer between 5-10k PKR for internships however I often hear candidates complain that these are below market rates. (Although this is common practice globally - interns paid very low and complaining..)

I cannot change the salaries offered by the employers I work with but I like to give employers advice to make sure interns have a good experience. How can software dev companies provide better internship experiences?",https://yt3.ggpht.com/ytc/AGIKgqM8cxWr27wUXTgJ9wegzE4UewZ0AwCDQOGb_qc_=s48-c-k-c0x00ffffff-no-rj,2
Rao Waqas Akram,1 year ago (edited),Thank you so much for inviting alot of Professionals.. your videos are quite informative for students,https://yt3.ggpht.com/ytc/AGIKgqP-9Fid6IHyJD0g19kTCyW_FSUgyTA9ex_gTLpa=s48-c-k-c0x00ffffff-no-rj,1
Dexter,1 year ago,"I would be a millionaire if I got a dollar each time he said ""Theek hai
""",https://yt3.ggpht.com/ytc/AGIKgqPcdyf2oKGb47CBKQ61mXaxdD6_KhLaU1LHmQ_g=s48-c-k-c0x00ffffff-no-rj,3
Moeez Ahmad,2 years ago,Very informative and exactly my cup of tea.,https://yt3.ggpht.com/ytc/AGIKgqO2FV2p10DwTmxG9Xg2WkTIY5uQEkhxIhdMK81TxQ=s48-c-k-c0x00ffffff-no-rj,1
Ali,2 years ago,Make a review about books you've read and some suggestions. I can see a few books in the background,https://yt3.ggpht.com/ytc/AGIKgqO6TBMzIfaqAp29YBvKYyUdQK4TtDIETKhwgBch4nw=s48-c-k-c0x00ffffff-no-rj,5
Abdullah Tariq,1 year ago,"Interesting 
Listened whole thing on Google Podcast",https://yt3.ggpht.com/ytc/AGIKgqN25wXUvpXBFZ--3rh4c4p8lVK1NZeO2WBED3DyfXY=s48-c-k-c0x00ffffff-no-rj,1
Moeez Ahmad,2 years ago,Again best video from best channel...,https://yt3.ggpht.com/ytc/AGIKgqO2FV2p10DwTmxG9Xg2WkTIY5uQEkhxIhdMK81TxQ=s48-c-k-c0x00ffffff-no-rj,1
Atta Rasool,2 years ago,What are the steps to start Information Security. A path?,https://yt3.ggpht.com/ytc/AGIKgqM30I2vEbCU9lHhQqjgrZtOPDzMayDyXunazATbmg=s48-c-k-c0x00ffffff-no-rj,0
Salman Ali,1 year ago,Yeah it was really helpfull sessoin. I learned and enjoyed this alot.,https://yt3.ggpht.com/ytc/AGIKgqPuV5sDFViZjEJgCASk_iStfjIblufZ38qv8trM3mA=s48-c-k-c0x00ffffff-no-rj,0
MUHAMMAD SHAHZAIB,2 years ago,"Bro, i texted you on insta... Plz have a look
Btw, my question is that should i learn Javascript or python for backend because i heard Javascript will take over python in next few years and i will be graduating in 2024???",https://yt3.ggpht.com/ytc/AGIKgqNnaAVe9nHFUfAwHG9cBUHBMYjDvLI97APgDT8Yjw=s48-c-k-c0x00ffffff-no-rj,0
Sarfaraz,2 years ago,What is difference between B's software engineering and B.E software engineering,,0
Hadi Hassan,1 year ago,He doesn't give straight answers just metaphors upon metaphors.,,0
Sadaf Farhan,1 year ago,Please make a video of Differences in Information Security vs Cyber security.,https://yt3.ggpht.com/ytc/AGIKgqPoAvc3RXyHQKPYtXteTYaqnnBDMELNyIKW1A=s48-c-k-c0x00ffffff-no-rj,0
Ahmad_Waheed,2 years ago,A helpful video. To much informative,https://yt3.ggpht.com/M5H5pJJrA_zPkB8vhtPqWunptdCLaxEunx8QgTbUy9DyF7Chg_ygCyan1_4eXNr1JO0Hb53L=s48-c-k-c0x00ffffff-no-rj,0
Khizar Hayat,1 year ago,give some ideas to information technology students about jobs,https://yt3.ggpht.com/ytc/AGIKgqPi5ehT7rciBlTV9IluW6XxPQz_h3GlY4oPPxJQ=s48-c-k-c0x00ffffff-no-rj,0
Ahmad Waheed,2 years ago,Very informative,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Abdullah,1 year ago,Is cyber security worth it?,https://yt3.ggpht.com/ytc/AGIKgqPiabYucxzVfmQjt6uQ51DNIj_IeUXsjzdV0-Yviw=s48-c-k-c0x00ffffff-no-rj,0
Omer maLik,2 years ago,Sir kindly Kese web developer ka interview kryn for experience..,https://yt3.ggpht.com/ytc/AGIKgqPssDA-GyQXawzc914jfviEP1JiZ11KEAlp=s48-c-k-c0x00ffffff-no-rj,1
Khizar Hayat,1 year ago,bro what about BSIT?,https://yt3.ggpht.com/ytc/AGIKgqPi5ehT7rciBlTV9IluW6XxPQz_h3GlY4oPPxJQ=s48-c-k-c0x00ffffff-no-rj,0
