Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Fateh Ali,2 years ago,I'm so happy about this channel. You are bridging the gap between Industry and Academia. Thank you so much!,https://yt3.ggpht.com/ytc/AGIKgqND-uO_PipAEHwMZSFw__RtT8Z95R0ba8_x4a_ALA=s48-c-k-c0x00ffffff-no-rj,2
KAIF KAIF,1 year ago,"Great apportunity to listen senior professional from industry, highly helpful for the student to have insight from professional and specially from company founders.",https://yt3.ggpht.com/ytc/AGIKgqNclsOY6tb-f1KY3CV0c3FIyuYbueKBs1ozRA=s48-c-k-c0x00ffffff-no-rj,1
Fahad Bin Shahid,1 year ago,"After Ayesha Mahmood, this is the podcast that I really liked and watched completely. Also Ehmad if you're listening, this is one of the things that takes a small step towards assisting our generation to achieve a better level. I have always wondered, how can we compete with our neighbour with their massive Tech Industry. Really happy for what you are doing.
Although it may be insignificant, but I would like to be a part of your this effort or to help you in any way whatsoever. Take Care.",https://yt3.ggpht.com/ytc/AGIKgqNYZSLvTkSeJnf3fh08hi4qcPeHnm49XRM6Gnk8rA=s48-c-k-c0x00ffffff-no-rj,0
Adeen Ahmad Zia,2 years ago,"Sir ,can't thank u enough for your mentoring..love you",https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,0
Naima Shaikh,1 year ago,"Amazing content... please do share tips and resources for junior/entry level developers who are struggling to get a remote job opportunities.. 
Much respect for you!! ",https://yt3.ggpht.com/ytc/AGIKgqMiqO4z-JNyBxUKn1qGrgXblI2SxUI-I9z9bxrd=s48-c-k-c0x00ffffff-no-rj,0
Laiba Shahid,1 year ago,"really appreciate your work .. You are doing amazing work and mentoring 
Sir actually im my self a Computer systems engineering 3rd semester student kindly guide me about the things other than coding as far as im not that interested in it as well as kindly do a detailed video on  graphics designing and ux designing and its scope..",https://yt3.ggpht.com/ytc/AGIKgqPOqO7tqCFph5hQT7BTN7uGMLaNgRIzmNGy1A=s48-c-k-c0x00ffffff-no-rj,0
Talha Bukhari,2 years ago,"Amazing content 
Highly appreciated ",https://yt3.ggpht.com/ytc/AGIKgqM7VkTlDsHi6t3ixuv8o1uoB2kMoo-ZTYGBNQ=s48-c-k-c0x00ffffff-no-rj,0
Mr Professor,2 years ago,"Sir, I am a Computer Science Undergraduate and in 4th Semester, my previous 2 semesters and this is going online. I dont think to have a point in learning some subjects. I want to have some practical skills which i know what will be worth in the Industry. Can you guide which way to choose. I thought improving my python skill but i already dont point when i dont know where ill be utilizing it. Please guide us that should we do for getting real taste of Computer Science what well be doing after 4 years",https://yt3.ggpht.com/ytc/AGIKgqOKOwxnkFNlJym3qtAQ5w1RRwZjoFQFMYFqYxomwA=s48-c-k-c0x00ffffff-no-rj,0
Abdul Ghafar,2 years ago,You are doing a great work,,0
Mr. ShadiRegistrar,2 years ago,Great insight brother,,0
Farhan Bajwa,2 years ago,@Ehmad Zubair could you plz suggest the best course of React on udemy?,,0
Ahmed Raza,1 year ago,Amazing content bro.,,0
Najam Ul hassan,2 years ago,content is just amazing,,0
ahmed mujtaba,2 years ago,Great ,,0
Menz Talk,1 year ago,"Assalamualakum

Sir, whats your thoughts on 
Virtual university of Pakistan?",https://yt3.ggpht.com/SXrQU9Y45cy-sqSPBREnri_90qyIIyC-ef_p7XQ1LVvGzk2emMC_iniPSglq-OvUUY7Bfhc3=s48-c-k-c0x00ffffff-no-rj,0
Sarang Kashif,1 year ago,24:37 15 year old here too Sirr ,https://yt3.ggpht.com/ytc/AGIKgqNLuwGrP45PQBPsCiupWrnwyqiVkhyLzzXDEJ2q=s48-c-k-c0x00ffffff-no-rj,0
Abdul Haseeb,1 year ago,,https://yt3.ggpht.com/ytc/AGIKgqNUc6wFWOuuFULQmu6YkhdVxPMVRnjSTs0hLE-ILQ=s48-c-k-c0x00ffffff-no-rj,0
haris butt,2 years ago,49:40 what were your skills... I mean what freelance service did you provide,https://yt3.ggpht.com/ytc/AGIKgqP9Y54Re88Fvf11ehuxvXWbmGEiCVg9sQVooV-o=s48-c-k-c0x00ffffff-no-rj,0
Ahmad Waheed,2 years ago,To much informative.,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,0
Problem,1 year ago,When Django course will be uploaded ?,https://yt3.ggpht.com/ytc/AGIKgqM08pFg0Es4Cj-aN_DA4n40grtAI2JKuZSYye1B5A=s48-c-k-c0x00ffffff-no-rj,0
Abdul Basit,2 years ago,First one ,https://yt3.ggpht.com/ytc/AGIKgqNHFiGKd22CY-B4ay71KSoJT5Ogw9-olLTYyXd-mg=s48-c-k-c0x00ffffff-no-rj,0
Shah Zaman Rai,2 years ago,Sir giveaway ka announce kab ho ga?,https://yt3.ggpht.com/ytc/AGIKgqOZOsRipxHVriNBAMr25R1d4E92-S3VnQ1eRDJCBQ=s48-c-k-c0x00ffffff-no-rj,1
Taha Soomro,11 months ago,lol what if your not smart as well hehe,https://yt3.ggpht.com/ytc/AGIKgqP7HHGhxJJvkkR_D8d-hjToSExJZOmVMkGTdw=s48-c-k-c0x00ffffff-no-rj,0
Captain Mir,2 years ago,Sifarish is must,https://yt3.ggpht.com/ytc/AGIKgqMMMkzvmQuMr-PwX_I_yt289nu8ZEwmQSuovYqU=s48-c-k-c0x00ffffff-no-rj,1
