Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Uzair Ahmad,2 years ago,"Sir, you are the first Pakistani who is sharing the job life and personal experiences of software engineering. 
Your videos are really helpful for students and freshers. Keep it up. Thanks for your struggle.",https://yt3.ggpht.com/ytc/AGIKgqPhAq_3_SOQbGgVZHF9vD9YQi6kfDQnG9cH_tekIg=s48-c-k-c0x00ffffff-no-rj,12
Shahood Sajid,2 years ago,"Discovered your channel and I am impressed with your content. Being 2nd year student of BSCS , this channel  produces the right content to enhance my capabilities. Thank You",https://yt3.ggpht.com/ytc/AGIKgqMBeKH_Bq9UthwejLpb2lD29a8cW8hdjcOP0GZI-w=s48-c-k-c0x00ffffff-no-rj,3
Islah Shahab,2 years ago,Thank you so much for your advice it's really amazing to see the people like you who have achieved something in there life's and guiding the young lott.,https://yt3.ggpht.com/_vFWcbGmyWcC1omX9UToV1TwN6bgS3Os_b37vxVIPLdip1JZe3mj9kS0d1L_vmtbXzj6NOrwxnc=s48-c-k-c0x00ffffff-no-rj,0
Ali,2 years ago,"Great videos honestly, what are salaries of cs/se grads in 4-5 years ?",,2
Muneeb Ahmad,2 years ago,"Mostly, Fastians are not comfortable with front-end as they do programming their whole time at FAST. :p Great Content Ahmad bhai!",,0
MR Mack,2 years ago,Can you make a detailed video on salaries for software developers for freshies and experience in pakistan?  This is a very hot topic.,,1
Rooh e Uqaab,2 years ago,YahYa LOokiNg like a GOod GenTelmeN,,1
Numan Ghani,2 years ago,Nice person ,,0
Hammad Arif,2 years ago,"Or hum open source community ko kese join kr skte hai
You are my mentor
I learn many things from you
Jazakallah",,1
Tuaha Tayyab,2 years ago,Nice video ehmad bhai.,https://yt3.ggpht.com/ytc/AGIKgqOP5JEKnFlYNCnwHxhDmnhAU4wu7lG8yHdl-7x9Rg=s48-c-k-c0x00ffffff-no-rj,0
Usama Sajjad,2 years ago,"Ehmad bhai,I'm looking for a non paid internship, I'm from Gujranwala,Can you help me?? My interest is in Software Quality Assurance.....",https://yt3.ggpht.com/ytc/AGIKgqOsjESvphKbdMob3F5BTHT8Dv0k_ZjudazHVSagdA=s48-c-k-c0x00ffffff-no-rj,0
muhammad talha,2 years ago,,https://yt3.ggpht.com/ytc/AGIKgqOngrIHqoUzkiM8I0yByLQ7RwVLMZJMQZjlrLw0P_g=s48-c-k-c0x00ffffff-no-rj,0
Abdul Rehman Rais,2 years ago,Agr bndy ky pas khud skills aur kuch knowledge ho aur Virtual university sy CS ke degree kry to koi value hoge degree ke market mai???,https://yt3.ggpht.com/ytc/AGIKgqNnPVKksIhhB9NAXRtT4wa8lwu32gkVoNYZsDXFmw=s48-c-k-c0x00ffffff-no-rj,0
Literature And History,1 year ago,Bhai internship kaha se kre,https://yt3.ggpht.com/ytc/AGIKgqMvepCN0Ofj7jJu_HRxbI5moFm7TBjcL3IWDRN4pA=s48-c-k-c0x00ffffff-no-rj,0
Hammad Arif,2 years ago,Ehmad bhai inho ne open source community ka zikr kia wo kia cheez hoti hai,https://yt3.ggpht.com/ytc/AGIKgqMwX_ZOV4L3VBNZ3TdnJGD7UU1P75Rw7BgiUw=s48-c-k-c0x00ffffff-no-rj,1
Affaq Khan,2 years ago,Ehmad Bhai plzz ye to batao ka inho na konsi University sa software engineering ki ha,https://yt3.ggpht.com/ytc/AGIKgqNZ82BNimGB8Ut_YoZhmsRur1jMCjH8t4TogyuH=s48-c-k-c0x00ffffff-no-rj,0
