Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Usama Aslam,1 year ago,"Thank you, Zubair. You are doing a great job. I have no words to describe that how much informative your videos are. I am in the final year of my degree and thank God I am getting so much information about the industry from your videos. I have a question that how can I know the company I am going to join will have a good learning curve or mentors than other ones.",https://yt3.ggpht.com/OBgEn7itR7hYu1BxQBht4c0eDRTgTDIW6ukViQfVNButXIDUmeZJQ0N7tDqYGNet-O4aigIXvcc=s48-c-k-c0x00ffffff-no-rj,0
Hassan Sajjad,2 years ago,This is the kind of content we are looking for. Looking forward for more practical tips. Thanks,https://yt3.ggpht.com/I4gdX20b4ExuKnkJipK90PJfttjzHxELBTuGzBtSm5pA6TP6Kziy4b1ldGqfjCgikC-TOU2P=s48-c-k-c0x00ffffff-no-rj,0
Captain Gaz,1 year ago,"Loved it looking forward for the next one,  i think it would be great if you could get someone to discuss about blockchain and web3 stuff.",https://yt3.ggpht.com/ytc/AGIKgqMJLLIg9RCkEly2RkiSKNV-hGDqdOP6aFiz_w=s48-c-k-c0x00ffffff-no-rj,0
Abu Ubaida,2 years ago,"Sir, Congrats on your new company. May Allah give you success!",https://yt3.ggpht.com/ytc/AGIKgqOJmx80Pz2nDJauCQpxNVjO6gvjxfzuHnU0IRbTQw=s48-c-k-c0x00ffffff-no-rj,0
Muhammad Waqas Akhtar,2 years ago,You are doing a great job man,https://yt3.ggpht.com/ytc/AGIKgqPXjwJ-BnMI7nWSlkd5x-eXKs6fDDjM8bSb1PPBNg=s48-c-k-c0x00ffffff-no-rj,0
Farhan Bajwa,2 years ago,"Brother, please make a video for the student who are from government universities what we can do to get a job .",https://yt3.ggpht.com/ytc/AGIKgqO30pi_LHRc4KxNXSokw6MfyZ1hP1D_vAFWX59T=s48-c-k-c0x00ffffff-no-rj,0
Ben's Corner,2 years ago,Very useful information️.,https://yt3.ggpht.com/J4NSlkQIm0_BgTZ6IMNtnjkXDXpxxjzpRA8X7HR8zv0ZysiWMEWxN3nUcLVq7Q1LpociIi-P9g=s48-c-k-c0x00ffffff-no-rj,0
ahmed mujtaba,2 years ago,Brother make video for students who are in 1st and 2nd semester of university where they start their journey in CS I doing BSCS from average university in Lahore,https://yt3.ggpht.com/ytc/AGIKgqN0EyYjiYInC4EE297090kDZjro7fYTPNv11lBZMpw=s48-c-k-c0x00ffffff-no-rj,2
MUHAMMAD ALI,2 years ago,Waiting for this episode ,https://yt3.ggpht.com/ytc/AGIKgqN0U4WO12S6d2W_SQJey-yjyZXk9MPZ5yiMRA=s48-c-k-c0x00ffffff-no-rj,0
Omer maLik,2 years ago,Can u share experience of web developer??,https://yt3.ggpht.com/ytc/AGIKgqPssDA-GyQXawzc914jfviEP1JiZ11KEAlp=s48-c-k-c0x00ffffff-no-rj,2
Najam Ul hassan,2 years ago,waiting for 50k and many many congratulations for your company bhai,https://yt3.ggpht.com/ytc/AGIKgqP3GgueYXBR9GQpNPteoeGVLjAtjX1tjg5ddBDT=s48-c-k-c0x00ffffff-no-rj,0
Faisal Jan,1 year ago,Please make a video on internship,,0
Bilal Farooq,2 years ago,Brother machine learning engineer or AI  ki internships pr bnaye video please,,0
Abdul Waheed,2 years ago,Good video Ehmad,https://yt3.ggpht.com/ytc/AGIKgqOGS38Q86VCUEz_UhcXKDtbgX-a2Gmx1VVyVQ=s48-c-k-c0x00ffffff-no-rj,0
Ahmad Waheed,2 years ago,A lot of wait for this new video.,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,0
Hashim Jawed,2 years ago,"Assalam o Alaikum  Ehmad Bhai thank you so much for guiding us and sir I need your suggestion k i am in 7th semester so I need an idea for FYP part 1 so please help me or Uni ma humay kuch nh seekhaya gya or even k reactjs ma na shoq ma khodi online seekhi but ab uni ki jo supervisor hain humari unko koe aysi web chayee jis ma new feature ho but hum kaisa krain python humay nh parhaee even k sirf c++ and java bas to please give me an idea what do i do ? i am in BSSE 7th semester, or 8 semester k kuch students ka fyp rok dia bcz of us ma koe updation nh thi to mera friends ka khaina ha k ksi sa banwa lia jaay ab ap ye btaain fyp khod baanain ya banwaain?",https://yt3.ggpht.com/ytc/AGIKgqN3E0CErBU5iNKWzbNIzMYxdSKlsZkbJgGYSfJU=s48-c-k-c0x00ffffff-no-rj,1
Ahmad Waheed,2 years ago,First view Alhamdulillah,https://yt3.ggpht.com/ytc/AGIKgqN2m8GmFg33DyF4GZKPVlSKpaf4g--YsTb-9Pd0=s48-c-k-c0x00ffffff-no-rj,0
Camper School,2 years ago,"It's so frustrating to watch .
Why you're putting so much ads??",https://yt3.ggpht.com/iGEe7h0OjR5-ahLOIh9UptnokX36beQcw7BwRbot8XllT7Qvy7iCEuPr9rKWVmaVIwGVq8YsDQ=s48-c-k-c0x00ffffff-no-rj,0
Abdul Waheed,2 years ago,ختم نبوت زندہ باد,https://yt3.ggpht.com/ytc/AGIKgqOGS38Q86VCUEz_UhcXKDtbgX-a2Gmx1VVyVQ=s48-c-k-c0x00ffffff-no-rj,2
