Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,1
Learning Solutions,1 year ago,"Finally, we found someone in Pakistan to guide us, otherwise, we were still watching  Indian software  Engineers",https://yt3.ggpht.com/ytc/AGIKgqO4n28HhKgub2O8bQaOUoK70AYbKdfO05x6asTrPw=s48-c-k-c0x00ffffff-no-rj,68
Souhaib,1 year ago,Glad to see Software Engineering career counselor in our country  great job sir Ehmad keep it up ,https://yt3.ggpht.com/H1sJpyhm_rfl7gmyhvQiFrG1Xf8QvieSGinuw_A5PBvqDJ68xuRBnUWz5Cb3MBWvlS6I5O0W=s48-c-k-c0x00ffffff-no-rj,8
Mr Professor,1 year ago,"Dont know from how long i was waiting to know opinions of our seniors so that we could learn from their experience. Your full channel is truly giving value for young software engineers. This is a great help literally for us and we are glad that we found your channel ️ 
Lots of love from a Cs student. I'll definitely work on your patterns.",,11
Abubakar Munir,1 year ago,I wish this was uploaded when I was in my first semester. Such an amazing road map Ehmad bhai,,7
Murad ul Hassan,1 year ago,"Great podcast!!! You guys were so candid️ Aisa lag Raha tha Kay 2 baare Bhai guide Kar rahe hoon. I am freshman at NUST, so I am gonna follow your awsome advices till the end.
Looking forward to more of these amazing podcasts ",,5
hamza Siddiqui,8 months ago,Watching after 1 year and it really helped alot. Hoping to see more guidance video like these on your channel,,0
Yousra Zaheer,1 year ago,I appreciate this content it gives me motivation to even go further thanks a-lot for your time ,,4
Sharjeel Shahzad,1 year ago,"Regretting for wasting my last 7 semesters... But till glad to see this channel that I can get the best advice here ️ 
Jazak Allah Kahairan Kaseeran Kaseera",,1
Farhana Fatima,1 year ago,"Great advice, Ehmad. I agree with all of it. Sometimes I feel like I didn't even go to uni. There are unlimited resources available online and I think students should explore them. Being a programmer is all about curiosity and creativity.",,0
Naqash Younas,1 year ago,Thank you for sharing your experience and thoughts about how we need to learn throughout the university so all the best ,,1
Ahsan Abdur Rehman,1 year ago,Loved the video. Do let us know how to get exposed to technologies. Not basic knowledge but a bit deeper and more professional. Maybe open source projects could help. What would you suggest with regards to open source?,,0
Abdullah Maqsood,1 year ago,"ehmad bhai I am a student of Fsc pre engineering that lasted from 2019-2021 (The corona years) and due to constant lockdowns we couldn’t study to our full potential resulting in low grades (56%), now I have two choices 
1) get admission in UMT (university of management and technology ) Lahore for Software engineering
2) repeat Fsc for 2 years and study harder for fast or comsats 
i see you as my Barra bhai, I am very stressed, Your opinion would matter alot",,1
Taha Soomro,1 year ago,bhai can there be a video about managing social life as well. not that ur doing less and not that u need to hold our hands . but just an insight to how social life was and can be .,,0
Arsalan Virk,1 year ago,Thank you Ehmad Bhai. I read somewhere that in near future artificial intelligence and machine learning based software would make it difficult to get jobs and saturate the jobs market. Your words on this. ,https://yt3.ggpht.com/ytc/AGIKgqNndpQQO-UP7odgyBsczu5oyYy7w_7Sj4qQGA=s48-c-k-c0x00ffffff-no-rj,0
Food Panda,7 months ago,One suggestion: It would have been really nice if you gave a bulleted list in the description or at the end of the video.,https://yt3.ggpht.com/ytc/AGIKgqPQrcl0PmwVj8mekoIM25wQq91bB7tRJwz_X9VgyRwda7npBfskn8z7xZYU9g1T=s48-c-k-c0x00ffffff-no-rj,0
NUTECH Student Communities Official,1 year ago,"Dear Elder brother, I think doing online courses related to degree, attend online internship or events and participates in competitions of technology. (In 3rd Year road map) you can add these things.",https://yt3.ggpht.com/j2xpobafn8ZATptqXTundozowr06_kzS13tp4QrbqRppYke7dZIHSQphEb_KUfGg6lhroDCh=s48-c-k-c0x00ffffff-no-rj,0
Bilal Ahmed Khan,11 months ago,So glad I finally discovered a CS related Pakistani channel. Keep shining guys!,https://yt3.ggpht.com/ytc/AGIKgqMAeiCL27Ht8HcGxyaiyVDOEYmerZdIFwxE6VBtbQ=s48-c-k-c0x00ffffff-no-rj,0
Ahmed Saeed,1 year ago (edited),Would you please explain what will be the roadmap for commerce I.com students to get into CS/IT/SE? Universities facilitate Pre-med students and they can apply for all of them by taking extra credit hours in the uni for mathematics. But they do not have such a facility for commerce students? It feels kinda unfair to me :(,https://yt3.ggpht.com/kx8RsM7B8C5MTgNDe8PJQuPFF2bIpWrCuBQ7npk4OcQmbUeM6jVLxRGWJ7QxrH-VO8ojgq8ZQA=s48-c-k-c0x00ffffff-no-rj,0
Rizz Rullzz,1 year ago,Just found this channel recently .. and Finally🇵🇰.. I m very happy to have such great Channel here in Pakistan for Uni Student 's like us..️️Great work... keep sharing your Wise Words and experiences with us..,https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,2
Syed Abdullah,1 year ago,Good to see such videos. Expecting more in the coming time.,https://yt3.ggpht.com/ytc/AGIKgqNSSLultQL8C4D0X7OPVi8GGxWLxyEndQop08SNnQ=s48-c-k-c0x00ffffff-no-rj,0
zubair ahmed,1 year ago,"Kindly make some other videos like this!
It's really helpful.",https://yt3.ggpht.com/ytc/AGIKgqObTkuxppjbFn15aezmK3pCciuFQbAMqHZNFA=s48-c-k-c0x00ffffff-no-rj,0
Haris Chandio,9 months ago (edited),"what was your final year project, zubair sir? and is it okay to do FYP solo?",https://yt3.ggpht.com/ytc/AGIKgqOPgcMMpstFnLrfr1akAEtgezcf46liDugAkiC0C2xSiaxX9FCoi1nO2YwcACY5=s48-c-k-c0x00ffffff-no-rj,0
Emad Ud din,1 year ago,"Assalamu alikum bhai jaan thank you soo much for your advices and suggestions, especially for hacker rank.
I will share this video with all my batch mates inshaAllah.
May Allah help you in your problems just like help us and give you success good health Ameen ",https://yt3.ggpht.com/ytc/AGIKgqNoyz0dr1Fr4op9XRGrglqQie7kAQVo6qChWQw=s48-c-k-c0x00ffffff-no-rj,0
Nabeel Ahmed,1 year ago,I'm a 1st semester student and this video is completely gem for me thank you ehmad bhai,,1
Hero Munfa,10 months ago,MashahAllah brother i really like your videos . brother iam doing bscs from virtual university of Pakistan due to financial issues.iam working on latest web development skills like react for frontend and node js for beckend.i want to get a job without completed my degree.  i can get job or not after learning just skills .plz guide,,0
Mr Professor,1 year ago (edited),This video is literally mind-blowing and yaar dubaara sunn raha aur dil se thank you kar rha. Ye valuable hongi hamaray liye future mei. Ill insha'Allah stick to it. Sadly my last 3 semesters got online out of 4 .,,0
Naveed Amjad,1 year ago,"Thank you for this very informative episode, please record an episode on how to become a full stack developer",,1
Inevitable Mr R,1 year ago (edited),"Assalamualakum Sir, 

Sir, What's your though on Virtual university Lahore? ( Is it good or bad for Soft ware engineering ? )",,5
Suhaib Ahmad,1 year ago,Amazing  waiting for more like this,,0
