Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Hadi Ali,1 year ago,"we love the show .
continue doing this great job.
Do invite a data scientist, ML engineer, AI Engineer, Cloud Engineer. One by one.",https://yt3.ggpht.com/ytc/AGIKgqPEbLIfPngRo75eWhMTfzbfXryLmG76M-xAUihP=s48-c-k-c0x00ffffff-no-rj,5
sahyba siraj,4 weeks ago,"I recently grauated in CS and was looking for non coding career paths, SQA being one of them. I didn/t know a word about SQA but this video was so lit. It is an all in one package for anyone who wants to become a QA. loved it",https://yt3.ggpht.com/ytc/AGIKgqNFcphHWCLLqaeLuf66KQe_C2UIGoGM9xJz2xBCvEnNjottjACHYppasKWESgqz=s48-c-k-c0x00ffffff-no-rj,0
Hamid Mehmood,11 months ago (edited),Beautiful conversation brothers ️ lot of knowledge,https://yt3.ggpht.com/ytc/AGIKgqPXPFvqQ0JyXTGsH5q24nLoKjSRvj1a5lm3ZsoH=s48-c-k-c0x00ffffff-no-rj,0
Jawad Ali,1 year ago,"MashAllah Amazing podcast!
I'm regretting that why i don't i reach out to video early.
Every Second of the video is knowledgeable. Justice done with time. Worthy to watch.

Ehmad bagi please keep up good work. Your channel is amazing. I'm going to subscribe it after watching this video.
Good luck to you ",,0
Zarafat khan,1 year ago (edited),"Bro please tell me being a beginner in software engineering what should be my road map to become a good software engineer
Like what are the things I need to learn
Please make a short video on it it's a question of many ...",,0
Neya Komputer,3 months ago,Thanks a lot brothers really really informative session .,,0
Official Hunter,1 year ago,Thanks Ahmed Bhai I have been waiting for this video for a long time. Stay blessed.,,1
Hammad zahid,1 year ago,Please make a session for BSIT (Bachelor of Science in information technology)  students,,0
meow72,1 year ago,"Sir, I want to ask a quick question.
Is it possible to get into cybersecurity after getting a degree in software engineering and then work as a cybersecurity expert? I would appreciate a simple reply saying yes or no",,1
Abdul Rehman,1 year ago,very good knowledge but ak aur cheez salary bhi discuss kiya krain as you guys have concrete and comperative information more reliable,,1
Imtiaz Ali,1 year ago,"Sir which city best for programming in Pakistan 
Karachi /Lahore /Islambad",,1
Ahsan Farooq,1 year ago,"sir I'm at 4th sem then i want to join any soft company part  (Basic Qa , or networking ) time for experience how do you think ?? its early or right time ???",,0
AsadAliCh,1 year ago,Waiting for data science session,https://yt3.ggpht.com/ytc/AGIKgqO722L_bFI47P4QVQGgQQ-e0DbX-WgEl0aHtQaYO9uNaM7V0ObgZSGxvMbPI7l_=s48-c-k-c0x00ffffff-no-rj,3
sheheryar altaf,1 year ago,"Kindly make videos  on each university  like fast, combats,nust e.tc",https://yt3.ggpht.com/ytc/AGIKgqPPsaUN9vnJX6XwMZK-VHSO0NCwKRiZPO_k_1xe=s48-c-k-c0x00ffffff-no-rj,3
Basit Khan,1 year ago,"Hi, Ehmad bhai kindly programming and Web Developer ky liye bhi RoadMap btaye please. I`m stuck to dont known where to start and how much time i need to give programming",https://yt3.ggpht.com/ytc/AGIKgqPWwDJH67QgYmEJvi7sxFM9OEDrg9WgX5zxCy2nqA=s48-c-k-c0x00ffffff-no-rj,0
Abdul Hamid,1 year ago,That's great. Learn something new thing for you people.,https://yt3.ggpht.com/ytc/AGIKgqOkpTfiJA7eA_-FFBVfUUw9OEVE-yhdq2YAoPzPDg=s48-c-k-c0x00ffffff-no-rj,2
shehla abdullah,2 months ago,Very amazing ,https://yt3.ggpht.com/ytc/AGIKgqO_xy0D_2XbdDw6jSj25TZTF2I5RhH3p2CsmSqemtSV1HLsIey7JIlnux2ZOkbw=s48-c-k-c0x00ffffff-no-rj,0
ahmed shaheer,1 year ago,Do something about data science and data analytics.,https://yt3.ggpht.com/ytc/AGIKgqMVfcDydSrweWGuOVCIEyNGLxuNYZDqGyiW-EUS-w=s48-c-k-c0x00ffffff-no-rj,0
Ashad qureshi,1 year ago,Please make a video on GSOC...,https://yt3.ggpht.com/gT6Ny1zQAh1DvGd-7xUJQ9MqOtU2VXnbXVojC-EzgNpe-aZk2U3Vek1q3ViqGFdqMmphwp-c-w=s48-c-k-c0x00ffffff-no-rj,1
Problem,1 year ago,Ehmad bhai please make video on Machine Learning Engineer Roadmap.,https://yt3.ggpht.com/ytc/AGIKgqM08pFg0Es4Cj-aN_DA4n40grtAI2JKuZSYye1B5A=s48-c-k-c0x00ffffff-no-rj,0
Bilal Khan,1 year ago,Where is the best institution in pakistan for data structure and algorithm training.,https://yt3.ggpht.com/ytc/AGIKgqP_64iaFwdWy1WurfSLLLpyndBfDQ8pfoCi6raI=s48-c-k-c0x00ffffff-no-rj,0
Hira Ali,1 year ago,Very good information,https://yt3.ggpht.com/ytc/AGIKgqM7M2C6Sm8RbiH9R0htlQBDGsHCimAZQnPAEb-yIA=s48-c-k-c0x00ffffff-no-rj,0
Muzammil Ahmad,1 year ago (edited),"Is it possible for someone with economics degree to get Software engineering Jobs in Pakistan?Given I learn complete programming, Different languages and DSA myself",https://yt3.ggpht.com/ytc/AGIKgqOhpdXsaG--m82Xc9tNo52RZ4w19n4I0Bb4yp2CpQ=s48-c-k-c0x00ffffff-no-rj,2
kainat kishwer,8 months ago,very informative bhaio shukria Mre 1st sy internship ki joining hai sqa ki,https://yt3.ggpht.com/ytc/AGIKgqOF53Ttbf5rOKkgm4PwRNoE_EH0lgAqOiIppCIZkw=s48-c-k-c0x00ffffff-no-rj,0
Mir Ali Murtaza,1 year ago,Ehmad bhai please go for project managent too,https://yt3.ggpht.com/ytc/AGIKgqMu5UbH5Yg7-erVM8DfqCDYBtkn0KrDS0B3md2wRg=s48-c-k-c0x00ffffff-no-rj,0
Hamad Bhatti,6 months ago,Is programing lanuages required for SQA????,,0
Ahsan Farooq,1 year ago,Sir make a video about networking,,0
mfmh1.com.1M,1 year ago,"AOA sir and all other friends 
sir, i am a student of fsc 2nd year 
sir ma na online hi wordpress and  html5 , css3 -""typing ms word ms exel "" - aur doosri languages seekhi hai liken ma pre engineering ka student ho ma aaga inshaallah software engineering ma jana chata ho mgr sir sb se bri problem ye ha ka jo mcat ya entry test hota ha nust ya uet waagara ma waha to computer ka lata hai jb k abi mare pre engineering computer ki jaga chemistry parta ho to sir us test ko pass krna ka liya kya krna ho ga please sir i need your help i am your great fan sir it is requested to you pleese reply me in comment session 
ta k mari ye problem khatm ho saka 
thanks for your precious time (reading and replying on comment",,0
Huzaifa Subhani,1 year ago,Is bharia university good for software engineering??,,0
Muhammad Osama Hanif /008,1 year ago,Sir I m beginner I wish to be sqa engineer pls guide me,,0
Raffay ali,1 year ago,Can we do masters in AI or ML after doing bs in software engineering?,,0
taha ali,1 year ago,"sir plz tell me one thing 
if someone become php developor 
or agar 4 sal ka experience ho agar php language ka scope khatam hojyee toh us ka experience wast hojyee ga 
ab wo dubara intern le ke start kery ga new language se",,1
Nihal Aslam,1 year ago (edited),sir kindly bta den ke pieas ki computer science ki degree ki value hai market main? ku ke zada nust aur faast hi suni is bare main..agr pieas se ki to job milne main mushkil ayegi?,,0
Ahsan Ullah,10 months ago,Sir Manual Testing interview ma Programming questions hota h?,,0
ali ahmad khan,1 year ago,,,0
sohail khan,1 year ago,As a student hamey basic kia sekna chahiye reply please,https://yt3.ggpht.com/ytc/AGIKgqMF0s0190P79SXiknAzW_mFW0yePsPgC419zYszcjwN2NNe4yCh-zWiTT2n78gp=s48-c-k-c0x00ffffff-no-rj,0
Abdullah Tariq,1 year ago,"""right sure haan definitely""

",https://yt3.ggpht.com/ytc/AGIKgqN25wXUvpXBFZ--3rh4c4p8lVK1NZeO2WBED3DyfXY=s48-c-k-c0x00ffffff-no-rj,0
Raees Anjum,1 year ago,Bhai computer engineering PR session please ye request h bhut s log confused hain kisi ka CS ya SE me ni hota tu CE kr k Achaaa software developer banny pr,https://yt3.ggpht.com/ytc/AGIKgqOaPCFDMK55Xz3fDljP2ZYFDg9JVVo9NYShNw=s48-c-k-c0x00ffffff-no-rj,0
Ahmed,1 year ago (edited),"So If A hacker is a person who easily identify a loop hole in an app (the app which is already been checked by a team of QA engineers and all the testers ) 
Still A hacker recognize the loop hole 

That's what i have heard about a hacker
Which means A hacker is a very good app tester? 
Than anyone else",https://yt3.ggpht.com/uGCq8A3l_li98W2X9WfDDDKlyPCFrI0hA8X85Eol3q5L9ViFF6OdnsL0hUAvR4wOHKsapF8XWA=s48-c-k-c0x00ffffff-no-rj,1
FMG〆MALIK Gaming YT,1 year ago,Bhai software engineer bannay Kay liay mujhai information chahiay mujhai koi guideline daynay wala nhi hay about software engeenring  aap say request hay Kay aik proper vedio bataein Kay matric main knn sa subject rakhna phir collage life main kia select krna hay phir university overall kitni education chahiay sbb ka merit or phir apply kaesay krna hay sallery kitni milti plzz aik proper vedio bana dain,https://yt3.ggpht.com/ytc/AGIKgqMUeFZv3dSxIr1o6mRxFT6-4gJG5N6_N2sRuun94w=s48-c-k-c0x00ffffff-no-rj,1
