Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,2
Anum Tayyab,2 years ago,"I think this show would be a great knowledge base for new comers.
I'll definitely recommend it to my younger brother.",https://yt3.ggpht.com/ytc/AGIKgqNdtXcJejnQkg1nwZZI69L9en_ZvIwpSjES5NR_iIQ=s48-c-k-c0x00ffffff-no-rj,30
Rafia Sajid,2 years ago,glad to discover this channel  earlier in university life  while doing SE,https://yt3.ggpht.com/ytc/AGIKgqOoSmfFBolWCuVOW-Hju6BJtijh4zP-rtRNfXdA=s48-c-k-c0x00ffffff-no-rj,47
Umar Usman,2 years ago,Plz guide all the students in this field step by step from zero to end of software engineering,,24
Usman Y.,2 years ago,Amazing initiative! Looking forward to the episodes.,,8
Emad Tauseef,2 years ago,Love the concept! Looking forward to it!,,5
WAC,2 years ago,"Ehmad, you are up to a great job!
Goodluck! ",,4
Shahzaib Rehman,1 year ago,"My brother wants to be a software engineer.... Can you please tell which universities are best in Pakistan for SE, in ranking wise and can you please make a video for those students who want to be SE, like pros and cons of this field and salary... Job market etc.... Thank you ",,5
SERIOUS Information,5 months ago,is there a different between programmer and softwere engineer ?,,0
BahawalTV,2 years ago,"When I started with programming, there were almost no resources like books etc., to learn programming.",,2
USMAN E GHANI Unknown,8 months ago,after Fsc pre engineering I am planning for bs software engineering can you plz tell me about best way to gain skills with knowledge?,,0
Rumaisah Munir,2 years ago,Very eloquent. Looking forward to watching the show.,,5
Yasir Munir,1 year ago,WHICH IS THE BEST FIELD OF CS FOR MSCS AND PHD?????,,0
Learn With Hadi,1 year ago,Should I go for master degree after bs in computer science?,,0
Talha Shahzad,2 years ago,Love this show,https://yt3.ggpht.com/ytc/AGIKgqMWARpo5KmHyJUPq4AojVIejs-PXAdNxQtYHA=s48-c-k-c0x00ffffff-no-rj,1
Kamran Shan,2 years ago,waiting for your upcoming sessions.,https://yt3.ggpht.com/ytc/AGIKgqOM2c5QfwXtX-gUIDHD2CIYx_ozAnFYwB5bW6VMSg=s48-c-k-c0x00ffffff-no-rj,3
Muskan Abrish,1 year ago,"Ehmad bhai. Please reply must
 I'm studying chemistry as my main subject. Last year i hear about freelancing and start learning it... i learned many things but web development fascinated me. I liked it most.. i started from wordpress then html and now python... i want to learn and explore it more... now i think chemistry is nothing to do in my career. What should i do? Should i leave this and get admission in CS or continue it? Please guide",https://yt3.ggpht.com/ytc/AGIKgqMFKOEwXhPyn-7_Gi74NIwHZ7PR7WAXl6WwdWVydA=s48-c-k-c0x00ffffff-no-rj,7
Young Colt,2 years ago,Looking forward to the show.,https://yt3.ggpht.com/raJnhyGNIEZtJ8QaqFn6AsGvGgZ09p3UMROD7Ueu8CZ8lLWJDub5erYzUiEOWXYlQOkyfFPM=s48-c-k-c0x00ffffff-no-rj,1
Imran Abbas,10 months ago,I'm new on your  channel i hope it will be beneficial for me as I'm doing cs ️,https://yt3.ggpht.com/ytc/AGIKgqN58GJOiqTrVI3otdtYd0F-UFiI-anmq_n_bg=s48-c-k-c0x00ffffff-no-rj,0
Safari hooo0sh,2 years ago,"i have done o/alevels and now will be doing Software engineering B.E from NED karachi, what's the starting average salary of the new grads?",https://yt3.ggpht.com/ytc/AGIKgqPxI1bVSiEuISPVrcDwMmCX9H5IDqOnutph_w=s48-c-k-c0x00ffffff-no-rj,0
Abdul Wahid,7 months ago,Zubair sb thanks for this valuable introduction.,https://yt3.ggpht.com/ytc/AGIKgqPbReJs8ukyEcofIufA7SlvWdvp7BkZfJX5Wg=s48-c-k-c0x00ffffff-no-rj,0
Ali Hassan,2 years ago,Does Binary play a major role in software engineering?,https://yt3.ggpht.com/ytc/AGIKgqPEi3ZZsxz1cE4La_mQdletaCyI63yK8GrNzQ=s48-c-k-c0x00ffffff-no-rj,0
FA7 Tech,2 years ago,i am student of software  engineering.I learned c++ in university course now sir which language  is best after c++ for me?,https://yt3.ggpht.com/-RoHcmHIz-EcOWOcTowSBEKY2qgl-i3rC1vjLVBCCTudNf7MOFHf7d90kDKBEzUGFDlHEjQ3DxI=s48-c-k-c0x00ffffff-no-rj,4
manhaxoxo㋡,1 year ago,After A levels in ict and business/ math  can I do software engineering,https://yt3.ggpht.com/mrL7K1h94GQIPq3EAwbensoi5Y4QUdb35Cp29JwnUDMoj0ReN6Jhn0hs1MOq_XEOsBoQmXid=s48-c-k-c0x00ffffff-no-rj,0
Rana Tariq,1 year ago,Which uni is best for these programs,https://yt3.ggpht.com/ytc/AGIKgqM4qZ-VcUo_1gEMcLgoE4EF6SLzn7iFUylLXQ=s48-c-k-c0x00ffffff-no-rj,0
Waqarali Khuhro,6 months ago,"Bro what you suggest for new student's who gets software engineering field.
Practical work kiya krna chaiye??",,0
Lala Jan,1 year ago,I have done higher education in ICS NOW I AM INTERESTED IN SOFTWARE ENGINEERING WHAT SHOULD I DO NOW,,0
Anees-Khan,1 year ago,"I am 18 year old and I am  study in FSC part 2 I learn CSS HTML and JavaScript....what you will suggest me next and how I can start  internship with companies...... waiting for your reply....
Thanks ",,2
Top Things,1 year ago,Kindly suggest best universities in KARACHI for CS/SE,,0
DAIZY GAMER,1 year ago,What were your subjects while doing a levels bro,,0
shayan akhtar,1 year ago,I have done bs electronics eng?I want to ask scope about embedded system engineering in pakistan?Or i should go towards software side only ?I have passion in coding.,,0
Subhan khan,1 year ago,Bro can i do software engineering after dae mechanical ?,,0
Ietezaz hassan,2 years ago,I am Ietezaz ul Hassan. I am a software engineer and now a days studying master at computer engineering. I want to appear in your show.  And I am very interested,https://yt3.ggpht.com/ytc/AGIKgqPOYeRKzVKcV3kTcPMB25x0XrppheoqVE3YX6nU=s48-c-k-c0x00ffffff-no-rj,0
Web Sparow,11 months ago,Sir please make video on complete  Road map to Artificial intelligence,https://yt3.ggpht.com/aIAg2MXQkGwxwTT8VnXCMUvxwngRG3IXJMZ66vA1xzNVDqDHIaqFyvu8z-6AjD9tM8yuiHkyZw=s48-c-k-c0x00ffffff-no-rj,0
Hamza Rauf,1 year ago,IT Vs software engineer which one is best,https://yt3.ggpht.com/klcve0mOoNv4rCSzBZZy9hxdEYkt1PSDpjonR4BOzKP40Px6J89OTXeY5ZPmIDE1xpOKrflPQw=s48-c-k-c0x00ffffff-no-rj,0
