Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,3
Bilal Baqar,2 years ago,Excellent comparison. Especially going over the courses side by side. Already sharing this with students that are making the choice between the two degrees.,https://yt3.ggpht.com/ytc/AGIKgqP7DRSaRp8slUa8oXY9D9G8pEtdz2-_hI3ANoEawA=s48-c-k-c0x00ffffff-no-rj,12
Anas Ishaq,10 months ago,"You really helped me out 
I am applying in different universities these days as most universities admissions are closing almost in mid July
I was really really really confused which one to choose
But now I am confident that i am going with BSCS
May Allah bless You.",https://yt3.ggpht.com/ytc/AGIKgqMBPxn-z2FVo2xRjxvxOQAeZ3ybx48EehsJQ3mOGw=s48-c-k-c0x00ffffff-no-rj,6
Hannan Ahmad,5 months ago,It was a nice video Ehmad. Could you please tell me If the Software Engineering degree includes a final year project like other engineerings? I could not find it in the NUST's course outline. TIA!,,0
Muhammad Aashir,2 years ago,Very informative. Can you please share the difference between Computer Systems Engineering and CS?,,3
AY S,1 year ago,"Sir can you provide the link to the spreadsheet , i just need to match them side by side thoroughly",,2
Malaika Ali,2 years ago,"Amazing video!
Your efforts to guide us are much appreciated.
Kindly make a video regarding Computer Engineering.",,5
Murtaza,1 year ago,"Summary:

In terms of courses, SE has a wide and shallow aperture, it focuses on the entire Software Development Lifecycle. While CS has a narrow and deep aperture, as it focuses more on coding and computer architecture.

In terms of job market, it doesn't really matter. Both are seen as synonymous by employers. So get going, and make some money.

At the end of day, Software Engineers have more rishta points due to the 'Engineer' label.",,30
Zain Mehmood,1 year ago,"hi , Can you please make a video on Software Engineer in the field of ERP , CRM  like Salesforce , Dynamics AX/CRM 365 ? the big tech corporates work mostly in digital transformations. Please have a video on that as well.",,0
Ashar Iqbal,1 year ago,Can you give an overview of Bachelor's in Artificial intelligence and about it's job in Pakistan ?,,0
Nikhil Brar,1 year ago,hey Sir i have a doubt that which is better -Software engineering by IT Or By doing degree like m.c.a or b.c.a,,0
Sufyan Aftab,2 years ago,Good to see such informative content in Pakistan .Can you please make a video of Computer engineering vs computer science.,,6
