Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Usman Y.,2 years ago,"No wonder I call Rizwan Aslam ""Guru Ji"" for a reason. He's an amazing teacher and a great friend!",https://yt3.ggpht.com/ytc/AGIKgqPXaxlBbpg_z-lu3UMauafT_iWtL7br20Id-aOvsQ=s48-c-k-c0x00ffffff-no-rj,9
M. Fahad,1 year ago,"Watching this first time, and I can't stop praising him..what an amazing guy..he just ignited my spirit.",https://yt3.ggpht.com/ytc/AGIKgqPRfmP0X_E-_17YB-T6qdSsQ26xQ5gzQrpgnQ=s48-c-k-c0x00ffffff-no-rj,1
Umair Ahmed,2 years ago,"We had a vey short but joyful time together while I was in Arbisoft, sharp and indeed a good human being. Seeing him after a long time brings good  old memories.",https://yt3.ggpht.com/ytc/AGIKgqOHAjXhZUnfUsCVNIfEU6t6RqWOnsZlyktLzTI3yg=s48-c-k-c0x00ffffff-no-rj,2
Usama Baig,2 years ago,"Ehmad, You’re doing a great job, I’m following you since your first video on this channel. I love and really needed this type of content and wish you great success.

I’ve got a suggestion, I’ve noticed that most of the YouTubers have a specific time when they publish their videos which is mostly in the evening when most of the audience is available to watch immediately and the early interactions make YouTube suggest the video to more users.
Videos published early in the morning get less immediate interactions (that's what I think) and are somewhat fail to impress YouTube's algorithm.

Your videos just deserve more.

Thank you.",https://yt3.ggpht.com/ytc/AGIKgqN8r3OsdyHIKrOLYYvcRymoPJCcNzLOQRwqUGVBeg=s48-c-k-c0x00ffffff-no-rj,5
AwaisFayyaz Dev,2 years ago,Great work Ehmad bhai. Your channel is bocoming a Good resource of career counseling for students and fresh graduates. Keep it up!,,1
Jawad Chughtai,2 years ago,"26:26 =)
Trust and Effort. Two big lessons from the video!",,3
Mehwish Salman,2 years ago,Amazing mentor. For sure he is a Guru,,0
Farhan Bajwa,2 years ago,"@Ehmad Zubair you are doing a really great job, Keep It up, Rizwan Aslam is a great personality I love the straight forward personality of him I think that is the reason for his Success.",,1
Farhan Ahmad,2 years ago,"Masha Allah 
He's so humble",,1
Hasnain Naveed,2 years ago,"One of the best people, I have encountered in the industry.",,1
Muhammad,2 years ago,Thank u Ehmad for giving us Quality contents,,1
Fahad Amin,1 year ago,Motivational personality with inspirational conversion,,0
Aliyan Ahmed,2 years ago,"ma sha ALLAH! 
learning alot from the knnowledge you are providing.
keep it up and yeah kindly invite SIR.YASSER BASHIR as well!
blessings",,1
Tasawar Hussain,2 years ago,Novels + Maths = ️,https://yt3.ggpht.com/ytc/AGIKgqNvHEyX-N8sGGyRKt3pQABAejqdhN_5tGVxEbUinw=s48-c-k-c0x00ffffff-no-rj,1
The Dark Khan,2 months ago,"Rizwan bhai ki tou kya he baat hae. Love this guy ️
MashaAllah Allah SWT Deen aur Dunya mae aur bhi kaamyaabi de. Ameen",https://yt3.ggpht.com/ytc/AGIKgqO_usIgVisTUoi1Bb6roVWkC6pR14i6OdjOzw=s48-c-k-c0x00ffffff-no-rj,0
