Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Hinan Bilal,2 years ago,"Not everyone has the luxury of knowledge, experience and a great network you have. You are helping many. God bless you.",https://yt3.ggpht.com/ytc/AGIKgqOxg0FGtPKgHC5jZTXoEoQqiQugH0_le9JcAK9U=s48-c-k-c0x00ffffff-no-rj,12
Hussain Akram,2 years ago,"Great Video, Usama bhai has a great personality overall and very hard working person - always craving for doing better. I'm happy his nature of helping/guiding others brought him here to be interviewed. Lots of love ️",https://yt3.ggpht.com/ytc/AGIKgqN23-jxXyB7mWDdaEx4aKFAGNuOxeMK7TR3Awv2jQ=s48-c-k-c0x00ffffff-no-rj,3
Farhan Khan,1 year ago,MASHA ALLAH brother you address the problems facing by students ️️,https://yt3.ggpht.com/ytc/AGIKgqOXWh1gbr1UwUbiRUBIutgkvNQEFxCGi4nKGw=s48-c-k-c0x00ffffff-no-rj,0
MadVentures,1 year ago,"I have been grinding for three months now for remote jobs, this guy saved my three months more. Thankyou! Appreciated.",,2
Ritik Goindani,2 years ago,"Sir you are doing something that is much much needed.
Thanks for efforts and Keep doing it ️
Wish the best of luck for your bright Future  ",,0
Saqlain Rasheed,2 years ago,"Thank you Ehmad Bhai for this series, learned a lot from these episodes.",,2
Zuber Ch,2 years ago,"Wonderful interview... Living up to your reputation, Ehmad!",,1
Abdul Wasay,1 month ago,"Wow,  I also have a brother exact name Osama Arshad and he is also currently doing a remote job from home and he earns alot for his age.. this is an interesting coincidence",,1
Asfand Yar Khan,2 years ago,Informative as always. Great work!,,2
Adnan Ali,2 years ago,Sir please make a detailed podcast on how to get in Fanng company and how to prepare for that,,1
muhammad luqman,1 year ago,His point of view is very to the point and straight,,0
Muhammad Safi Ullah,7 months ago,Very very informative!,,0
Syed Faateh Sultan Kazmi,2 years ago,Another interesting topic ,,2
Ayesha Ehsan,2 years ago,as a fresher's which platform is best to start freelancing and which language should one have expertise in case of front end web developer?,,0
Rabia Zaheer,2 years ago,Really needed this! Thanks!,https://yt3.ggpht.com/ytc/AGIKgqOv-9jv0z70JKAQDrXCusxB6_6MAGeVUgy8_w=s48-c-k-c0x00ffffff-no-rj,1
