Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Ehmad Zubair,8 months ago,Have questions that you want detailed guidance on? Book a consultation here: https://bit.ly/3C3ZLxv,https://yt3.ggpht.com/zWPzC9QcVPMQCCfmYBRIPrnMGg_udMzZVu4w2xhGIR8BU7TDHls9C2Pc5GAAfU_O7SFXFkFkXFA=s48-c-k-c0x00ffffff-no-rj,0
Masoom Bari,1 year ago,Thank you so much Ehmad bhai. you cant imagine how helpful and motivating this video is for students like me. God bless you,https://yt3.ggpht.com/miUb2HEJB9V5_AnQyw1h9wOuXHxFA9P_Qftv9SAGkMKLpueSOJfyOz0kg3uayblvTW0uYyqMujo=s48-c-k-c0x00ffffff-no-rj,3
Aliyan Ahmed,2 years ago,"Ehmad bhai I want you to have a detailed episode on careers in UX DESIGNING , DIGITAL MARKETING & GRAPHIC DESIGNING !
If possible make it a bit sooner.
Regards",https://yt3.ggpht.com/ytc/AGIKgqPbka_YVMknFdJ7LLBnzwXAjDfmogG0qg-7xUU4=s48-c-k-c0x00ffffff-no-rj,4
Muzamil Nawaz,2 years ago,"Assalamu alaikum Ehmad Bhai,
First things first very informative content you are producing out there, I really appreciate that.
Secondly my concern is, in one of your videos you guys mentioned that reputation of ""University"" is important in our first job as Software Engineer, but let's say if we didn't get the opportunity to join best of institutions, so what's the next important things to do to overcome that lacking?
I hope I made my question clear,
Will be eagerly waiting for your insights.
Thank you ;)
Best regards,
Muzamil",,6
Qurratulain Imran,2 months ago,"Assalamualaikum I am really confused between CS and software, I have no particular interest in coding overall but I am more into architecture and designs of system, plus I am also building my career in UX designing, I am little confused which one should I pick because some people say software is hard and won't allow you to reach in many fields.kindly guide.",,0
Arslan Bashir,1 month ago,"Ehmad bhai you might not know k ye kitni zabarsast video ap ne banai, this can be used as a reference.

Kindly do make videos on roles like Solution Analyst, Solution Architect, Business Analyst, Business Developer, Product Analyst, Product Manager & Product Owner.

Thanks in Advance!",,0
c_a,2 years ago,"An interesting topic for a video might be to talk about ""self taught developers"". Im im BSc EE, and I've been learning to code alongside EE for 2 years now. But I dont know whats the status of a self taught dev, are there any self taught devs in Pakistan, if so how do they maneuver career wise etc",,0
sabah hussain,1 year ago,"Watching from the UK, great job! Clean clear videos helpful for our our speaking people. Please talk about ux designer in detail.",,2
Syed Muhammad Talha,2 years ago,"Nice one, in your next video you can also tell about IT Consultants.",,1
the Dreams,2 years ago,"This is what I've search for 
Thanks bro ",,3
Suhail Thakrani,2 years ago,"Please make the video on the scope of ML,  AI, Data Science, or Python Developing in Pakistan?",,3
Zain Ali,2 years ago,"Hey, what should a freshly graduated software engineer from NUST or FAST expect? And how much should one expect after around 4-5 years of experience?",,1
Zaeem Javed,2 years ago,"Very good initiative. 
Information Security k roles b discuss karen which dont involve coding.",,1
Muhammad Aashir,2 years ago,"Amazing! Just waiting for more videos. Keep it up!
-Computer Systems Engineer",,6
Kashan Ali,2 years ago,mashallah brother you are doing a great job for us stay blessed and  happy always.,https://yt3.ggpht.com/ECzTXQo1700UQ6slyIId6M62V1A-pz-lyvm5dtuN9R3CcGVq1FZMIdXF0VhBKeTtdViIJqz1=s48-c-k-c0x00ffffff-no-rj,2
Abdul Rehman,2 years ago,Emmad bhai Amazing work... Call a Senior Data Scientist who can share his journey,https://yt3.ggpht.com/ytc/AGIKgqN7QQQmXQJFF_B9B_27X1bO858mDt4Zg5xZS9l5zQ=s48-c-k-c0x00ffffff-no-rj,1
Amaazing everyone,2 years ago,"Hi sir, i just went in 9th AKU-EB and i have alot interset in software engineering. And i know only basics about HTML and my aim is to work in Google as software engineer.",https://yt3.ggpht.com/ytc/AGIKgqOu5aL_6Mw25L1hGXx0ec4slwsieRpDzX0716MPKQ=s48-c-k-c0x00ffffff-no-rj,1
Rabab,1 year ago,what degree would u need for these careers?,https://yt3.ggpht.com/ytc/AGIKgqNCoygYk_xak9Y1ERCxlB2AvvhYMv6qWmBJGLJQ8A=s48-c-k-c0x00ffffff-no-rj,0
