Username,Comment Time,Comment Text,Thumbnail URL,Number of Likes
Sufyan Kamran,1 year ago,"This video is for my type of peoples. Because about 1.5 year I didn't get what should I do. But you solve my issue ( career goal ). Thank you so much sir,  keep it up, and make more videos.",https://yt3.ggpht.com/ytc/AGIKgqNSBmYqUJYx4saGfl5GxiPo83Q9upr_sEI8RIvH=s48-c-k-c0x00ffffff-no-rj,8
Adeen Ahmad Zia,1 year ago,"Sir, i started watching your videos about half an year back and it motivated me alot. I started learning frontend and now i am going for backend as well",https://yt3.ggpht.com/ytc/AGIKgqMnCvskKzCH3lsAsFh-fD20kZj3U2Ztr765J7gPyw=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Rohail,1 year ago,"Aslam-o-Alaikum Ahmed Zubair Bhai, Please also guide to start internship in Good Software House. What they see in intern ? What they expect ? How much skill level required ? Specially For Web development,
 I have learnt Vanilla JS Now I am thinking I will learn more by working with professionals.",https://yt3.ggpht.com/ytc/AGIKgqMBjGPqmtWmljxWtVFqJ5MjENlhYGliKGtheZt3YA=s48-c-k-c0x00ffffff-no-rj,2
Muhammad Hamza,1 year ago,"Sir do you offer internships as well or only jobs?  
And keep posting your content it really is useful !!!",,1
MUDASSER KHAN,4 months ago,"Hello sir, I'm confused between php(Laravel) and node.js, most people prefer node.js but I'm not sure if that's the right choice in Pakistan. Hope you'll reply",,0
Flutter Javascript,1 year ago,"really love the video .
hope to get more in future. 
thanks for great content.",,2
Muhammad Tabish,1 year ago,"Congratulation bro!!
We both have same mindset about web development",,3
Hasnain Haider,8 months ago,"Sir i am litte bit confused about choosing technology i am going to follow your tip and started with web development
I have already done the front end
But i have now interest in backend should i started with php because some senior advice me to started with it.
But my newbie friends are started with modern technologies",,0
Muhammad Ali,1 year ago,Being a senior Django developer I can agree with your all points highlighted in this video.,,3
Adeen Ahmad Zia,1 year ago,Sir a little problem with code with mosh is that you have to buy his subsricption to get source code. Otherwise he is brilliant,,0
anisha rana,1 year ago,Sir ur doing a great job it's really help full. Thank u and I have one request that plz make one video on artificial intelligence career or jobs,,0
arham rasheed,1 year ago,I totally agree with you with this motivation I just started learning node js,,1
Salman Akhtar,1 year ago,Very well explained. Thanks for the video.,,2
Uzair,1 year ago (edited),"Best programming-related content you can find in Pakistan!
Thanks a lot bro",,0
Rizz Rullzz,1 year ago,"Finally our Brother is back , Bai mena kal hi app ki sb videos youtube playlist ma download ki recently jo university students related thin , nd very happy to see you back again with another masterpeace .",https://yt3.ggpht.com/ytc/AGIKgqMoD1n3z6KsA_OmHW47thhknlik1ry0TcGI5ogJNg=s48-c-k-c0x00ffffff-no-rj,1
